Arnulfo Cassin, Oddish, mule
Jose Watsica, Goldeen, baboon
Philip Stracke, Charmander, eagle
Terry Hilll, Seaking, raven
Jovita Bartoletti, Chansey, wallaby
Bart Trantow, Farfetch'd, llama
Warner Fahey DDS, Nidoran, buffalo
Shakia Gleichner, Pidgey, fly
Mrs. Rosalee Fay, Nidorino, kangaroo
Dr. Layla Little, Victreebel, bear
Buddy Schumm, Omanyte, yak
Miss Jacques Satterfield, Psyduck, coyote
Ernie Schuster, Squirtle, wildebeest
Fae Dicki DDS, Metapod, toad
Richard Raynor II, Tentacruel, buffalo
Nga Kris, Rattata, sardine
Alphonse McKenzie, Drowzee, lizard
Stormy Runte, Dratini, cricket
Michale Altenwerth, Grimer, chinchilla
Vina Rogahn, Hitmonchan, giraffe
Ms. Ricky Romaguera, Geodude, horse
Grant Raynor, Vaporeon, bee
Sheena Mills, Hypno, bat
Rachael Kuhn, Rhyhorn, porcupine
Dewey Hansen DDS, Hypno, wildebeest
Calista Kirlin, Nidoqueen, rat
Julio McDermott, Articuno, mosquito
Steve Prosacco, Diglett, ox
Ms. Pia Sporer, Arbok, tortoise
Mr. Edythe Greenfelder, Nidoran, rabbit
Amy Bechtelar, Paras, cicada
Vincenzo Harvey, Growlithe, raccoon
Max Hodkiewicz, Hitmonlee, lizard
Meryl Bahringer, Pidgeotto, gnat
Deana Hauck, Sandslash, baboon
Cristal Hauck, Venonat, porpoise
Lynna Dietrich, Onix, bat
Mana Rosenbaum, Metapod, dog
Shawn Collins, Rhyhorn, rhinoceros
Mui Schneider, Nidoran, mule
Stewart Mayert, Cubone, clam
Arica Hoppe, Venusaur, mule
Petra Lang, Caterpie, platypus
Gene Corkery, Lickitung, wolf
Merlene Kuvalis, Primeape, sheep
Hubert Stroman, Magmar, bear
Orval Cole, Kabuto, oyster
Abel Gutkowski, Snorlax, wolf
Dale Ondricka, Charizard, goose
Damion Ondricka, Horsea, spider
