Rochell Abshire, Weepinbell, ape
Kamilah Haley PhD, Sandshrew, badger
Norberto Powlowski, Mewtwo, manatee
Flossie Mohr V, Zapdos, eagle
Harrison Dickens I, Pidgeotto, hamster
Perry Parisian II, Poliwrath, elk
Blake Christiansen, Lapras, rabbit
Shane Ziemann, Venomoth, seal
Saturnina Hessel, Golbat, gorilla
Florence Hills I, Diglett, jackal
Vernon Kuphal, Geodude, caribou
Vernita Hammes MD, Doduo, porpoise
Randell Walker, Rapidash, locust
Martin Wiegand, Weepinbell, beaver
Miss Frida Mosciski, Dugtrio, mole
Stacey Kuhlman MD, Clefable, giraffe
Glayds Hilpert, Krabby, caribou
Dr. Gracie Strosin, Golduck, koala
Patricia Smith, Squirtle, clam
Elvis Romaguera, Cubone, pug
Sandee Smitham III, Aerodactyl, rabbit
Colby Mante, Geodude, koala
Ms. Bess Kertzmann, Poliwhirl, jellyfish
Katherin Cremin, Psyduck, tortoise
Napoleon Lang, Raichu, seal
Franklyn Hahn, Golem, elephant
Nettie Monahan, Dodrio, lizard
Robert Mills, Gloom, prairie dog
Alessandra Gulgowski, Kabutops, mole
Mr. Camille Tillman, Golem, armadillo
Kalyn Toy, Weepinbell, porcupine
Shanon Gottlieb, Articuno, duck
Mel Herzog PhD, Cubone, wasp
Lena Labadie, Nidorina, pig
Yoshiko Nikolaus III, Dugtrio, jackal
Dr. Dusti Kunde, Dugtrio, buffalo
Mathew Durgan, Muk, yellowjacket
Torie Dicki, Farfetch'd, alpaca
Derick Volkman, Shellder, llama
Mr. Angelo Kertzmann, Clefairy, alpaca
Mr. Marhta Miller, Clefairy, donkey
Wiley O'Conner, Raichu, shark
Onie Rosenbaum, Golem, platypus
Lyle Cronin, Hypno, clam
Usha Raynor, Ponyta, platypus
Samual Pouros, Poliwag, elk
Celestina Schmidt, Grimer, seal
Modesta Schoen, Horsea, frog
Kevin Johnson PhD, Pidgeot, cicada
Issac Farrell, Pidgeot, sea lion
