Tamica Franecki, Kabuto, alligator
Ms. Deloras Little, Venusaur, mouse
Latisha Hahn, Fearow, hare
Linwood Batz, Psyduck, toad
Priscilla Kerluke, Slowpoke, water buffalo
Kory Heaney, Nidorina, chimpanzee
Mafalda Swift, Mew, beetle
Cami Sipes, Goldeen, impala
Lyla Gottlieb, Ponyta, shark
Ricarda Gislason, Golbat, yellowjacket
Erik Wolf, Porygon, cockroach
Alejandra Hegmann, Shellder, moose
Honey Rowe, Raticate, ferret
Teddy Quitzon, Electabuzz, crab
Wesley Reichert, Drowzee, swan
Ligia Heller, Golem, water buffalo
Ms. Frances Sawayn, Moltres, ox
Mrs. Joey Weimann, Pikachu, woodchuck
Miss Felicita Emard, Spearow, beetle
Debora Miller, Gyarados, termite
Mrs. Melonie O'Reilly, Onix, hyena
Ivory Altenwerth, Lickitung, manatee
Karly DuBuque, Goldeen, yak
Clement Gleason, Ninetales, tiger
Dong Hessel, Kadabra, scorpion
Alethia Swaniawski, Gengar, butterfly
Amee Feeney, Rapidash, wildebeest
Winston McKenzie, Beedrill, serval
Lewis Greenfelder, Lapras, baboon
Enoch Klocko II, Koffing, prairie dog
Ferdinand Heidenreich, Hitmonchan, kangaroo
Kurt Skiles MD, Venonat, butterfly
Emilio Muller DVM, Tentacruel, mole
Nikita VonRueden, Venonat, baboon
Bernadine Huel, Raticate, grasshopper
Mr. Camille Johns, Tentacool, camel
Deon Zulauf, Porygon, cat
Lane Runte V, Graveler, swan
Irmgard Walsh, Dragonite, elephant
Jerold Connelly, Dewgong, worm
Mrs. Rey Auer, Kabutops, goose
Beverley Fisher, Exeggcute, sardine
Ms. Branden Lubowitz, Mankey, buffalo
Lucas Flatley, Vaporeon, oyster
Ms. Stella Hessel, Magnemite, eagle
Kitty Hammes Jr., Charmander, antelope
Daysi Halvorson, Ditto, hamster
Everette Bergstrom, Clefable, mammoth
Thelma Trantow, Nidorina, chimpanzee
Rosalba Rempel, Paras, swan
