Elsy Weber, Vaporeon, walrus
Timmy Moore, Venonat, salmon
Eric Schuppe V, Aerodactyl, lizard
Glady Labadie, Dodrio, crocodile
Dr. Shelby Wolf, Doduo, jellyfish
Rickey Jenkins, Horsea, dog
Danial Padberg, Shellder, mink
Mr. Cletus Murphy, Dugtrio, rabbit
Latisha Murazik, Nidoqueen, toad
Miss Marlo Spencer, Tentacool, whale
Ernesto Heller, Growlithe, macaw
Stefania Thompson, Vaporeon, elephant
Barbar Steuber, Hypno, mule
Hank Reinger V, Paras, goat
Trey Torphy, Doduo, butterfly
Maurice Cummings, Gloom, goose
Aimee Sporer V, Charmander, weasel
Aura Okuneva DVM, Ditto, elephant
Sona Brekke, Seel, camel
Tad Howe, Machop, badger
Jordan Terry, Flareon, snail
Numbers Powlowski, Rhyhorn, buffalo
Sanford Beier V, Staryu, coyote
Mr. Orval Emmerich, Snorlax, spider
Carlo Zulauf, Vulpix, dolphin
Luigi Mertz, Goldeen, moose
Oscar Rempel, Exeggcute, cod
Miesha Kshlerin, Seaking, leopard
Mr. Darcey Senger, Seaking, armadillo
Mrs. Ron Rippin, Weedle, gnu
Gwyneth Heller, Golbat, horse
Chin Zulauf Sr., Horsea, chinchilla
Markus Kessler, Alakazam, marten
Mr. Nola DuBuque, Ditto, eagle
Mrs. Adrien Streich, Butterfree, chinchilla
Phil Rempel, Lickitung, raccoon
Claudio Beer, Dugtrio, wolf
Bertie Lindgren Jr., Mewtwo, mouse
Valentine Lockman, Magnemite, butterfly
Mr. Kenna Tremblay, Raticate, cicada
Leslie Fisher, Geodude, beaver
Wilmer Schimmel, Venusaur, elk
Sebastian Mayer, Flareon, camel
Laverne Schiller, Goldeen, porcupine
Ethyl Hills Sr., Caterpie, kangaroo
Pamelia Gutkowski, Horsea, alpaca
Dr. Joel Funk, Charizard, sardine
Mose White, Bulbasaur, eel
Gaylene Lang, Vaporeon, wombat
Frederick Witting, Golbat, whale
