Winston Bahringer IV, Seaking, giraffe
Lucio Zemlak, Growlithe, caribou
Lynna Douglas MD, Machamp, rat
Pearline Fritsch, Tentacruel, cricket
Dean Huels Sr., Dewgong, mammoth
Mrs. Marie Yost, Caterpie, antelope
Providencia Greenfelder, Seadra, hedgehog
Charlsie Skiles, Mew, cat
Ms. Damon Swaniawski, Moltres, horse
Inocencia Hackett, Tentacruel, koala
Mr. Deandre Donnelly, Exeggutor, worm
Miss Cary Fahey, Paras, chimpanzee
Synthia Harris, Magikarp, rhinoceros
Malik Monahan, Golem, panda
Fredericka Auer, Weezing, gnat
Horace Ortiz, Doduo, armadillo
Elizabet Predovic, Shellder, woodchuck
Hubert Reichel, Exeggcute, hare
Corrina Maggio Jr., Onix, pug
Natalia Bernier I, Poliwrath, crow
Gertrude Johnson, Cloyster, kangaroo
Ms. Mitchel Raynor, Golduck, dog
Toney Schmeler, Magmar, jellyfish
Mrs. Amada Welch, Primeape, platypus
Rudolf Thiel, Magnemite, mouse
Jerald Hermann, Pidgeotto, rabbit
Angella Koch PhD, Dodrio, oyster
Clifton Leannon, Rapidash, yak
Danilo Johns, Articuno, crow
Rebbeca Kovacek, Lapras, cat
Landon Turcotte, Fearow, caribou
Hailey Kozey, Venonat, serval
Justin Kuhlman V, Gyarados, jellyfish
Ted Hand, Haunter, sea lion
Sylvester Grady, Ivysaur, snail
Ms. Kerry O'Kon, Staryu, marten
Laveta Corwin III, Rhyhorn, squirrel
Dr. Madelaine Christiansen, Nidorina, caribou
Pasquale Stroman, Gastly, ferret
Dr. Lester Cruickshank, Electrode, cicada
Arica Pollich, Jynx, porcupine
Nelson Zboncak I, Psyduck, duck
Vannesa Predovic, Caterpie, hyena
Ethan Shields PhD, Rapidash, wildebeest
Elene Hessel, Aerodactyl, porcupine
Lorelei Fahey, Dodrio, serval
Trinidad Collins IV, Ekans, skunk
Ms. Katie Spinka, Koffing, rabbit
Denyse Larkin V, Jigglypuff, manatee
Louann Gulgowski, Tentacruel, zebra
