Tamar Runolfsdottir DVM, Tentacool, bear
Miss Bonny Cormier, Dewgong, woodchuck
Mrs. Soo Blanda, Moltres, mink
Ms. Aron Runte, Tauros, squirrel
Oscar Cole DVM, Tangela, seal
Janell Gorczany, Nidoran, cattle
Cecil Pacocha, Gyarados, tortoise
Leda Weber, Charizard, mole
Elouise Howe PhD, Gyarados, tiger
Regenia Ernser, Koffing, sardine
Paris Renner MD, Persian, pig
Thuy VonRueden, Weezing, llama
Daniel Price MD, Articuno, hippopotamus
Deandra Hodkiewicz, Jolteon, gnu
Towanda Schulist, Charmeleon, skunk
Lauren Cummings IV, Zubat, sardine
Katherina Heller, Haunter, badger
Tonda Swaniawski, Mew, minnow
Marcus Swaniawski, Venonat, elk
Hector Lynch I, Pidgeotto, platypus
Miki Schuppe, Clefable, woodchuck
Nikole Collier DVM, Tauros, salmon
Svetlana Douglas Sr., Machop, llama
Chang Muller, Hitmonlee, chimpanzee
Jaime Streich, Raticate, woodchuck
Chang Harvey, Muk, termite
Mr. Marilu Kunze, Rhydon, elephant
Hertha Sipes, Rattata, hare
Mrs. Kraig Torphy, Wigglytuff, cat
Marinda Howe, Oddish, clam
Miss Andreas Mitchell, Squirtle, bear
Miss Librada Hermiston, Psyduck, fox
Nicolas Cole, Meowth, antelope
Danial Little, Snorlax, llama
Isaias Fahey, Golem, lizard
Dr. Ed Hayes, Nidorino, hedgehog
Clarita Paucek, Ditto, hound
Grant Hahn, Weezing, cockroach
Junko Konopelski, Golem, cod
Marcus McDermott, Tentacruel, butterfly
Leota Bartell, Mew, mammoth
Aleta Sporer, Wigglytuff, chimpanzee
Donna Blick II, Seaking, minnow
Darin Schuppe I, Raticate, porcupine
Mindy Cassin, Cubone, herring
Gregory Jerde, Muk, baboon
Sheron Lehner, Sandslash, deer
Alica West, Flareon, mallard
Edwardo Beatty MD, Omanyte, coyote
Lizeth Rutherford MD, Mew, lizard
