Horacio Kreiger, Weedle, goose
Patience Luettgen, Beedrill, koala
Fe Luettgen, Zapdos, rabbit
Ms. Joie O'Reilly, Aerodactyl, gorilla
Chang Treutel, Ditto, zebra
Dwayne Haley, Paras, wildebeest
Myles Pfannerstill, Wartortle, bat
Akiko Stracke, Koffing, seal
Weston Steuber, Hypno, raccoon
Mireille Bartell V, Pidgeotto, cat
Xuan Crona, Oddish, cicada
Edwardo Leffler, Mew, ape
Gerald Dickens, Persian, raccoon
Leslie Klein, Fearow, yellowjacket
Scot Sipes, Tangela, cheetah
Mandi Toy Jr., Dewgong, beetle
Mel Moen, Diglett, antelope
Dean Heaney, Dodrio, snail
Joe Mayert, Tentacruel, lion
Eden Kuvalis, Zapdos, muskrat
Verline Rempel, Marowak, bee
Hugo Streich, Grimer, zebra
Soledad Frami, Grimer, hippopotamus
Dr. Alan Toy, Poliwrath, mosquito
Nina Von Sr., Fearow, deer
Ming Hills, Charmeleon, baboon
Cherish Friesen III, Weezing, mallard
Johnathon Bradtke, Graveler, crab
Tyler Jaskolski, Mewtwo, grasshopper
Santo Keebler IV, Kabuto, bat
Madalyn Maggio, Mew, koala
Lupe West II, Vulpix, walrus
Dr. Jody Wisozk, Metapod, weasel
Mrs. Dahlia Beatty, Machop, camel
Creola Roob, Mankey, locust
Mark Schinner, Caterpie, trout
Tommy Grimes, Rapidash, jellyfish
Rodger Auer, Gengar, oyster
Ms. Chase Runolfsson, Bulbasaur, ferret
Rosalyn Mohr II, Exeggutor, deer
Clay Wuckert, Krabby, guinea pig
Peter Sanford, Venonat, raccoon
Dominique Wilderman, Arbok, tortoise
Priscilla Pfannerstill, Nidoking, monkey
Dania Smitham, Persian, goose
Vincenzo DuBuque, Nidorino, toad
Lauralee Bashirian, Sandslash, eagle
Clifton Wunsch, Mew, hare
Ms. Noel Stanton, Weedle, cattle
Ericka Watsica, Exeggcute, lizard
