Tad Berge, Clefairy, scorpion
Benjamin Wintheiser, Golduck, wasp
Lucien Schaden II, Zapdos, gnat
Shaniqua Zboncak, Nidorina, trout
Irvin Bradtke, Nidorino, crow
Lucretia Klein III, Wigglytuff, serval
Carlyn Wolf, Drowzee, termite
Chance Goyette, Ekans, bear
Antonietta Wuckert, Dragonite, armadillo
Mrs. Andreas Hayes, Staryu, jellyfish
Edwina Gleason V, Drowzee, lizard
Fredrick Leannon, Dewgong, tiger
Ninfa Toy I, Krabby, crocodile
Sophie Feil, Tentacool, wasp
Felipe Bayer, Weezing, llama
Domenica Wuckert, Metapod, gerbil
Twila Raynor, Venonat, chinchilla
Ms. Kenny Morar, Electrode, deer
Gus Bradtke, Beedrill, elephant
Cordie Mills, Dewgong, elk
Ms. Elsie Balistreri, Kabuto, pug
Laureen Hermiston MD, Hitmonchan, cheetah
Alison Marks, Vileplume, elephant
Parker Parisian, Kangaskhan, tortoise
Vinnie Ortiz, Charmander, sea lion
Miss Beatrice Maggio, Gyarados, monkey
Galen Gerhold, Poliwag, minnow
Aldo Grady, Paras, tiger
Mrs. Parthenia Doyle, Golbat, camel
Ms. Denisse Hane, Slowbro, cheetah
Numbers Walker, Gastly, hare
Dr. Reginald Mann, Onix, tortoise
Dr. Adrian Kulas, Hypno, donkey
Ellyn Bartell, Seadra, donkey
Grayce Reilly Jr., Gyarados, donkey
Clarita Funk, Spearow, walrus
Alfred Bosco, Marowak, giraffe
Ma Gulgowski DVM, Lapras, cricket
Ms. Joel Hyatt, Jynx, manatee
Lyla Yundt, Ninetales, weasel
Nenita Cronin, Blastoise, ferret
Coy Lueilwitz, Omanyte, minnow
Lakeshia Bednar Jr., Machamp, crow
Edith DuBuque, Scyther, locust
Yung Abbott, Golduck, panda
Mr. Daine Brown, Pidgey, muskrat
Miss Lee Kirlin, Golem, prairie dog
Bruno Lehner, Jynx, rabbit
Cynthia Tremblay, Onix, termite
Luther Yundt DVM, Electrode, kangaroo
