Althea Hamill, Dugtrio, hound
Lamont Lehner, Porygon, alpaca
Caleb Bashirian MD, Machoke, kangaroo
Jina Thompson, Lapras, coyote
Melita Sporer, Haunter, buffalo
Ismael Vandervort DDS, Ninetales, wasp
Charley Wolff, Machoke, skunk
Jude Runte, Ivysaur, pug
Rodolfo Shields IV, Omanyte, macaw
Lekisha Jacobi, Magmar, alligator
Dr. Marc McGlynn, Tentacruel, woodchuck
Dr. Trudi Schuppe, Kabuto, bat
Wilton Emard, Venomoth, gorilla
Carlo Bogisich II, Meowth, mallard
Judson Huel, Doduo, sardine
Ms. Trula Volkman, Scyther, cattle
Lorean Schimmel, Mankey, donkey
Bernice Graham, Sandshrew, gnat
Ms. Romana Pfannerstill, Sandslash, crow
Derek Schoen, Vaporeon, wildebeest
Mrs. Genevieve Lang, Exeggutor, baboon
Marcos Ernser IV, Paras, swan
Lucretia Rutherford, Doduo, raven
Claretta Nienow I, Paras, crab
Harriett Fisher, Gloom, chinchilla
Stewart Koch II, Tauros, buffalo
Richard Hermiston, Charizard, weasel
Patrick Cummings DVM, Pikachu, locust
Myesha Aufderhar, Voltorb, skunk
Donn McDermott, Magmar, mole
Annalisa Hermiston, Electrode, worm
Dr. Darrel Volkman, Nidorino, hippopotamus
Ms. Leigh Lakin, Blastoise, swan
Lawrence Swaniawski DVM, Aerodactyl, wombat
Simonne Stoltenberg, Ponyta, giraffe
Retta Predovic, Jynx, yellowjacket
Mrs. Torie Senger, Poliwhirl, impala
Gary Williamson, Pidgeot, cheetah
Winifred Kunze, Kangaskhan, mammoth
Wilson Kihn, Pinsir, cattle
Benito Ebert, Slowbro, wildebeest
Lettie Schaefer, Poliwrath, moose
Erasmo Konopelski, Clefable, turtle 
Rhoda Howe, Machamp, spider
Novella Paucek, Kadabra, mosquito
Enrique Harris, Persian, elephant
Lavinia Schinner, Kangaskhan, cod
Dr. Euna Yost, Ninetales, marten
Delsie Robel, Kabutops, cockroach
Miss Doyle Reynolds, Jigglypuff, sea lion
