Anamaria Frami DDS, Bulbasaur, hornet
Mack Funk, Gyarados, oyster
Emilee Wiegand PhD, Charmander, lion
Delbert Jakubowski, Diglett, walrus
Marlin Klein, Clefairy, wildebeest
Margarito McCullough, Ninetales, serval
Mr. Landon Kshlerin, Tentacruel, seal
Jessie Morissette, Poliwhirl, trout
Garth Braun DDS, Haunter, marten
Georgette Rempel, Pidgeotto, pig
Tyson Bailey PhD, Nidoking, hare
Nathaniel Graham, Venonat, platypus
Dean Paucek, Slowbro, seal
Val Buckridge, Muk, cicada
Margene Goodwin, Machamp, caribou
Lindsay Tremblay, Dratini, scorpion
Jacques Sauer V, Articuno, goldfish
Soledad O'Keefe, Machoke, coyote
Ms. Otelia Labadie, Primeape, raccoon
Venice Lockman IV, Zapdos, hyena
Kerrie Gutmann, Paras, alpaca
Demarcus Kub, Exeggutor, caribou
Barney Bode, Electrode, bear
Josephina Okuneva, Oddish, worm
Tashina Thompson, Pidgeot, eel
Dr. Royce Orn, Cubone, hedgehog
Freeman Stiedemann, Porygon, porpoise
Gregorio Bode, Starmie, grasshopper
Lavenia Bechtelar, Tauros, cattle
Stanley Green, Geodude, weasel
Leigh Konopelski, Slowbro, fish
Dannie Hintz, Spearow, koala
Levi Kassulke, Nidoqueen, cheetah
Wilber Marquardt, Arbok, koala
Hyman Satterfield, Magnemite, mink
Devin Gulgowski, Tentacruel, hyena
Milton Bernhard, Beedrill, wildebeest
Wallace Botsford, Weepinbell, whale
Mr. Jesse Abbott, Gloom, leopard
Gilbert Reichel III, Mewtwo, jellyfish
Laticia Douglas, Jynx, buffalo
Oralee Wunsch, Drowzee, chimpanzee
Perry Schmidt, Rapidash, alpaca
Sofia Corkery, Bulbasaur, beaver
Dr. Brendon Harber, Parasect, minnow
Rhett Swift Jr., Goldeen, crocodile
Meridith Beier, Kabuto, chinchilla
Dean Farrell, Ditto, porcupine
Larry Runte, Paras, mink
Camellia MacGyver, Wartortle, sardine
