Oretha Roberts, Dewgong, hamster
Lucilla Jast, Sandslash, chinchilla
Mrs. Victor Leuschke, Bulbasaur, wasp
Toby Beahan, Tauros, bat
Erin Osinski V, Weepinbell, leopard
Estelle Sanford, Kakuna, hound
Moises Armstrong, Caterpie, chinchilla
Stefanie McDermott, Bulbasaur, marten
Wm Schulist, Dratini, tiger
Dr. Eleonora Johnson, Lapras, wombat
Lupita Von, Krabby, dinosaur
Herman Gutmann, Articuno, jackal
Maira Luettgen, Pikachu, crocodile
Kelly Herzog V, Butterfree, swan
Ms. Carmel Rippin, Rhydon, swan
Miss Tommie Turcotte, Lapras, tiger
Mr. Yen Kohler, Clefairy, woodchuck
Calvin Turner PhD, Wigglytuff, moose
Tim Lindgren MD, Machoke, bee
Jamison Jenkins, Golduck, marten
Robbie O'Conner, Kabutops, gerbil
Wendell Witting PhD, Vulpix, seal
Dr. Lindsay Olson, Marowak, shark
Mrs. Nereida Lind, Meowth, fly
Dan Davis, Poliwrath, jackal
Gerardo Waelchi, Kabutops, guinea pig
Ervin Kiehn, Shellder, salmon
Lanny Weber, Drowzee, elk
Maira Thiel, Farfetch'd, mammoth
Neoma Boehm, Staryu, horse
Mr. Pablo Rice, Grimer, salmon
Oma Schumm, Articuno, clam
Kris Dickinson, Weepinbell, wildebeest
Ms. Gerardo Nienow, Golbat, coyote
Matilda Brown, Magmar, guinea pig
Bennett Willms III, Kakuna, clam
Vince Leannon, Horsea, mink
Miss Donn D'Amore, Tangela, cat
Esperanza Wisoky, Machop, marten
Clifford Homenick V, Onix, squirrel
Christa Abernathy, Mr. Mime, elephant
Gilberto Ferry, Drowzee, worm
Neoma Blanda, Zubat, ant
Ms. Kraig Huels, Blastoise, goldfish
Cleo Zemlak, Geodude, hound
Young Baumbach, Arcanine, ape
Anja Funk, Chansey, locust
Mr. Isreal Windler, Pidgey, ferret
Olevia Keeling, Jynx, marten
Arnulfo Ernser, Bulbasaur, goat
