Elroy Legros, Lapras, yak
Danyelle Corkery, Venonat, cicada
Clint Hackett PhD, Beedrill, toad
Maynard Bartell, Rapidash, rhinoceros
Buck Kautzer, Poliwhirl, cricket
Harmony Zboncak, Poliwag, bat
Trey Weber, Drowzee, mosquito
Juan DuBuque, Jigglypuff, trout
Fredric Hessel, Seaking, grasshopper
Mauro Bernhard, Abra, hornet
Dr. Ramon Kulas, Rhydon, seal
Cherilyn Murazik, Goldeen, raven
Mr. Coletta Osinski, Diglett, fly
Gisele Kautzer, Fearow, eel
Madeline Abernathy, Kabuto, gerbil
Ms. Sudie Strosin, Weepinbell, herring
Tonie Schultz, Staryu, ape
Tammy Jast, Hitmonlee, marten
Mrs. Flo Schmidt, Ditto, hare
Julian Dach, Hitmonchan, raccoon
Randolph Thiel, Weepinbell, cat
Miss Lu Jerde, Rattata, gnat
Marco Hilpert, Venonat, mink
Roscoe Anderson, Raticate, dinosaur
Leanne MacGyver, Jynx, baboon
Caroline Upton, Tentacruel, camel
Damien Cartwright MD, Seadra, ant
Octavio Lang, Poliwag, wasp
Ms. Homer Kessler, Gengar, yak
Norman Herzog, Drowzee, walrus
Donnell McClure, Starmie, platypus
Jae Heaney Jr., Scyther, raven
Stacy Rohan, Wartortle, sardine
Trinidad Zieme, Weezing, locust
Julio Wolf, Kangaskhan, gorilla
Jess Hoeger, Ekans, louse
Carlita D'Amore, Pidgeot, ant
Johnnie Sipes, Lickitung, beetle
Jesse Rogahn, Cloyster, dolphin
Asa Lynch, Nidoking, frog
Val Tremblay, Parasect, skunk
Marlys Kozey, Rattata, hedgehog
Filiberto Okuneva, Horsea, hedgehog
Adalberto Wintheiser, Omastar, bear
Abraham Mueller, Meowth, rabbit
Sang Cormier, Marowak, trout
Lawrence Fritsch, Marowak, water buffalo
Ms. Homer Haley, Omanyte, skunk
Mr. Galina Hilpert, Seaking, eagle
Stepanie Weimann, Metapod, salmon
