Benito Little PhD, Nidoran, panda
Dr. Alton Heller, Cloyster, gnu
Zack Konopelski, Moltres, eagle
Iliana Keebler, Dewgong, armadillo
Freddie Skiles III, Raticate, macaw
Aubrey Ledner, Charmander, porpoise
Basil Ward, Ponyta, eel
Ms. Rayford Kunze, Rhyhorn, donkey
Cassandra Harber, Sandshrew, rabbit
Mrs. Dominick Homenick, Weepinbell, gerbil
Cleveland Leuschke, Goldeen, fox
Ms. Dorsey Lehner, Machop, skunk
Pandora Weber, Aerodactyl, salmon
Cedric Macejkovic IV, Magneton, mallard
Alberto Balistreri, Mew, hornet
Karri Hamill, Caterpie, wolf
Ms. Earle Denesik, Squirtle, hippopotamus
Ben Hartmann, Vaporeon, eagle
Nena Hauck, Grimer, antelope
Harriett Mayer, Charmeleon, frog
Eddy Gerhold, Slowpoke, duck
Forrest White, Parasect, kangaroo
Milan Bartoletti, Dratini, cheetah
Arminda Wisozk DDS, Victreebel, cheetah
Coy Hills, Bellsprout, toad
Britteny Fay, Raichu, water buffalo
Janene Schaden, Rattata, prairie dog
Stephenie Barrows, Aerodactyl, jackal
Andres Schulist, Tentacool, ape
Dr. Tatum Ruecker, Krabby, elk
Brad Stanton, Moltres, rat
Mrs. Amiee Macejkovic, Kabutops, manatee
John Ortiz, Sandslash, sheep
Daisey Wilkinson DVM, Pikachu, zebra
Bennie O'Reilly, Slowpoke, wolf
Rolland Buckridge II, Pinsir, serval
Ines Stamm, Marowak, camel
Gino Kuvalis I, Golduck, gnu
Ione Mitchell, Drowzee, wallaby
Stanford Kulas, Beedrill, tortoise
Stacy Douglas, Marowak, crocodile
Josef Schoen, Raichu, mosquito
Lena Reichel, Sandshrew, locust
Obdulia Boyer, Golbat, hound
Grace Kihn, Parasect, fox
Vito Ondricka, Paras, bear
Aide Botsford, Exeggcute, kangaroo
Iva Turner, Lapras, yak
Ellan Pfannerstill, Fearow, dinosaur
Charline Prohaska, Lickitung, camel
