Luci Ernser, Pinsir, beaver
Mr. Shon Witting, Clefairy, antelope
Simon D'Amore, Gyarados, coyote
Dr. Freddie Willms, Vulpix, cod
Trinity Mills, Abra, fish
Emil Lindgren, Electrode, hippopotamus
Margy Reinger, Poliwrath, goose
Janean Will, Onix, goose
Lionel Turner, Chansey, rabbit
Mariam Bernhard, Goldeen, pug
Clarence Schimmel, Dugtrio, impala
Waldo Ritchie, Seadra, mule
Lee Anderson DDS, Kabuto, buffalo
Spring Wiza, Squirtle, gerbil
Ms. Rhiannon Upton, Ditto, dinosaur
Miesha Kling, Slowbro, baboon
Ms. Stephan Bode, Parasect, jackal
Xenia Blanda, Zapdos, mallard
Laverne Nitzsche, Nidorino, manatee
Raleigh Volkman, Graveler, spider
Taryn Prosacco, Rapidash, dinosaur
Tarah Berge, Staryu, mule
Kate Predovic, Poliwag, ferret
Jaquelyn Lowe, Charizard, rabbit
Dexter Corkery, Tentacool, mouse
Howard Stamm IV, Gyarados, scorpion
Johnna O'Reilly, Kangaskhan, cattle
Ms. Alexander Schroeder, Lickitung, llama
Burt Mitchell, Porygon, chimpanzee
Marco Conroy, Bulbasaur, swan
Julius Johnson, Zubat, crow
Miss Brandon Rutherford, Golem, pig
Mr. Randy Treutel, Muk, ant
Christinia Zieme, Rapidash, kangaroo
Leonardo Kris, Golem, salmon
Ms. Cliff Greenholt, Beedrill, grasshopper
Griselda Anderson DVM, Pikachu, antelope
Lashanda Russel, Rhydon, crow
Mr. Gricelda McCullough, Charizard, squirrel
Flossie Champlin, Gyarados, raccoon
Laurel Kris II, Venonat, alligator
Curt Lubowitz, Seel, horse
Rana Rice, Hitmonchan, otter
Mr. Ruben Crooks, Psyduck, swan
Terrance Shanahan, Kakuna, prairie dog
Daine Collier I, Dewgong, mouse
Mohammed Welch, Rhyhorn, cicada
Mrs. Laci Cummings, Eevee, locust
Allen Skiles, Wigglytuff, hedgehog
Lyndsay Nikolaus, Nidoran, pig
