Terrance Reinger, Zapdos, mammoth
Mrs. Lenny Renner, Arbok, cat
Hank Gulgowski, Magneton, otter
Myrtle Harber MD, Cubone, fish
Wendell Batz, Cloyster, porcupine
Mariam Lakin, Charmeleon, lion
Barry Grimes, Caterpie, bee
Dick Kuhic, Eevee, cod
Johnny Pagac, Tangela, hornet
Fritz Mitchell, Moltres, cockroach
Micaela Ryan Jr., Lickitung, lion
Erasmo White DDS, Zubat, coyote
Ms. Karoline Kihn, Pidgeot, serval
Janise Dietrich, Clefable, eel
Mr. An Boyer, Magikarp, eagle
Art Herman DVM, Sandshrew, monkey
Cortez Stark, Poliwrath, termite
Ezequiel Larson, Kabutops, pig
Sharen Rempel Jr., Growlithe, antelope
Arlie Roberts, Butterfree, cat
Benny Kemmer, Electabuzz, alligator
Cornelius Dooley III, Gengar, dinosaur
Lucius Bruen, Squirtle, bear
Tommie Mosciski, Charmeleon, whale
Roni Miller, Meowth, lion
Mrs. Kieth Witting, Hitmonlee, beaver
Miss Marco Wilderman, Primeape, antelope
Althea Nicolas, Beedrill, baboon
Bradford Gorczany, Vaporeon, bat
Leroy Emmerich, Hitmonlee, lion
Ms. Arlinda Towne, Mew, monkey
Natasha Raynor, Mew, mole
Deadra Quitzon DVM, Wartortle, prairie dog
Raul Greenholt, Ditto, porcupine
Mrs. Deshawn Goyette, Fearow, scorpion
Lance Bashirian, Venusaur, squirrel
Sadie Barrows, Goldeen, baboon
Tory Stoltenberg IV, Pidgey, alligator
Reagan Gulgowski, Golduck, walrus
Taylor Beier DVM, Vulpix, cheetah
Paulita Hickle, Growlithe, rhinoceros
Miss Jerome Hahn, Bellsprout, sheep
Miss Josphine Ritchie, Pinsir, eagle
Britni Feest, Geodude, duck
Shu Murphy Sr., Rhyhorn, donkey
Alfonso Schoen, Krabby, water buffalo
Dane Larson, Alakazam, herring
Mr. Pasty Kerluke, Mankey, elk
Dr. Donald Bergstrom, Koffing, wolf
Ms. Guadalupe Greenfelder, Kabutops, hare
