Leland Vandervort, Dragonite, serval
Shonda Hane Jr., Goldeen, eel
Aurelia Considine, Golem, mallard
Latoria Stanton, Machop, snake
Maragaret Lind, Charizard, yellowjacket
Mirella Carter, Hitmonlee, leopard
Natalya Sporer Sr., Golbat, crow
Craig Brown, Marowak, hamster
Augustine Keebler, Kabuto, sea lion
Mrs. Emil Fay, Koffing, frog
Li Jacobs, Rhydon, worm
Casandra Zulauf, Graveler, koala
Miss Natasha Lesch, Persian, pug
Danielle Altenwerth, Rhydon, coyote
Santana Luettgen, Nidoqueen, camel
Ms. Curt Walker, Lickitung, swan
Mac Dibbert, Dragonair, eel
Mitchel Bernier, Alakazam, sea lion
Miss Anitra Gulgowski, Dodrio, hedgehog
Shantae Gottlieb, Sandslash, armadillo
Jesica Cruickshank, Caterpie, lion
Antoinette Muller, Rattata, chimpanzee
Antony Spencer, Jynx, hamster
Kermit Homenick, Machoke, clam
Violeta Kassulke PhD, Raticate, mule
Jermaine Schoen, Nidoqueen, impala
Norris Stracke, Clefable, goose
Brendan Kreiger, Spearow, sheep
Mamie Emmerich, Kabutops, chinchilla
Jamar Rohan, Voltorb, butterfly
Season Kuhlman, Raticate, leopard
Noel Hoppe, Chansey, yak
Bertram Schmidt, Cloyster, llama
Ronald Ruecker, Mew, wombat
Carolyne Hauck, Slowpoke, lizard
Ms. Kirby Lesch, Ekans, wombat
Refugio Zieme, Doduo, mule
Missy Reichert, Scyther, deer
Freddie Buckridge PhD, Magnemite, trout
Golden Green, Rhydon, yellowjacket
Santina Kulas, Arcanine, mule
Arnold Bauch II, Snorlax, hamster
Andrea Cruickshank, Persian, lion
Johnson Aufderhar, Sandslash, cattle
Laura Kreiger, Persian, hippopotamus
Rosendo Shields, Omastar, buffalo
Russ Tillman, Dodrio, minnow
Benito Kemmer, Persian, macaw
Grover Okuneva, Zapdos, snake
Emerald Luettgen, Charmander, cod
