Kennith Gibson, Ditto, crocodile
Sudie Haag, Articuno, hare
Kaleigh Bernier, Chansey, hare
Ethan Bailey, Machamp, chimpanzee
Sidney Will, Nidorino, raven
Alysia Ebert MD, Golbat, salmon
Michel Mann II, Oddish, pig
Walker Rohan, Jynx, prairie dog
Leif Leannon, Weedle, zebra
Emily Beahan, Koffing, gnat
Marlena Ullrich, Horsea, oyster
Reyes Kohler III, Rapidash, walrus
Isabell Ward, Tangela, giraffe
Earnestine Legros, Flareon, alpaca
Dale Conn, Eevee, woodchuck
Jung Barton, Victreebel, hare
Mauro Schuppe DDS, Nidoqueen, elk
Ms. Edward Rosenbaum, Poliwhirl, guinea pig
Dr. Rupert Hodkiewicz, Mankey, giraffe
Seymour Harber Sr., Seaking, hound
Florence Kunze, Paras, cockroach
Roscoe Bashirian, Seadra, caribou
Alonso Pagac, Mew, koala
Enrique Gorczany, Bulbasaur, lion
Maudie Johns, Raticate, mammoth
Gustavo Maggio, Snorlax, raven
Angle Doyle, Dugtrio, otter
Bev Powlowski, Golduck, cattle
Bryant Gerhold MD, Butterfree, spider
Leandra Mann, Farfetch'd, deer
Blair Buckridge, Ivysaur, salmon
Miss Monroe Kozey, Articuno, clam
Shannan Roberts, Slowpoke, cheetah
Kisha Bashirian, Magneton, alligator
Gwyneth Feeney, Moltres, elk
Jamison Fay, Growlithe, weasel
Pricilla Heller, Mew, mallard
Elfrieda Herman, Hitmonchan, alligator
William Veum, Clefable, jellyfish
Magaly Swift III, Jynx, caribou
Lowell Kirlin, Jynx, clam
Chas Ferry Jr., Kangaskhan, oyster
Enola Daugherty, Cubone, locust
Dr. Leroy Herman, Golbat, herring
Madge McDermott Jr., Machop, salmon
Vergie Abernathy, Pikachu, raccoon
Tanika Von, Squirtle, deer
Scot Cassin, Arcanine, panda
Lupe Bechtelar, Meowth, mink
Ezequiel Hyatt, Hitmonlee, bat
