Carol Feil, Muk, horse
Mr. Rozella Wolff, Ninetales, duck
Robby Haag, Jynx, woodchuck
Nery Lynch Jr., Victreebel, louse
Jerold Kuvalis, Goldeen, worm
Dewey Marks, Lapras, rhinoceros
Rex Paucek, Muk, rabbit
Wallace Larson, Weezing, chinchilla
Wendi Hickle, Sandshrew, louse
Emelda Steuber, Abra, wildebeest
Gertrudis Haley, Weezing, alligator
Stuart Roob DVM, Doduo, elephant
Gino O'Hara, Gastly, ox
Anibal Lang IV, Paras, koala
Miss Hector Howe, Exeggutor, wombat
Tameika Rosenbaum, Rattata, raven
Dr. Maria Braun, Oddish, clam
Corazon Auer II, Lapras, hyena
Camilla Predovic, Venonat, ferret
Dr. Fabiola Goodwin, Flareon, chimpanzee
Louie Osinski, Nidoran, tiger
Noble Yost, Raichu, baboon
Katie Cassin DDS, Slowbro, koala
Garret Grady, Charmander, moose
Jc Padberg, Zapdos, bat
Anette Rolfson, Vileplume, trout
Freda Stark, Weezing, butterfly
Bryce Hilll, Parasect, locust
Donovan O'Connell, Weezing, whale
Lulu Stoltenberg, Kadabra, swan
Ricky Leffler, Dragonite, cat
Neil Johnson, Dewgong, porpoise
Florentina Stokes, Nidoran, snake
Sherise Rohan, Nidoran, donkey
Patrice Quigley V, Squirtle, serval
Everett Gulgowski, Dodrio, coyote
Cathey Pfannerstill, Golduck, mole
Karisa Kulas, Poliwrath, zebra
Frederic Ullrich, Hitmonchan, bat
Damian Roberts II, Zapdos, impala
Mr. Major Denesik, Machamp, water buffalo
Matilde Graham Sr., Butterfree, bee
Mrs. Shawnee Block, Dodrio, leopard
Billie Kassulke DDS, Charmander, dinosaur
Mrs. Yuri Goodwin, Dodrio, seal
Roseann Schoen, Haunter, swan
Ms. Christy Keebler, Nidoran, cockroach
Jody Douglas, Weezing, alpaca
Glen Schimmel, Electabuzz, pig
Jean Thiel III, Pidgeot, gerbil
