Florencio Hartmann Sr., Metapod, kangaroo
Randal Gislason, Arcanine, monkey
Jackie Rosenbaum, Meowth, cod
Mallory Hessel DVM, Charizard, mink
Ms. Simon Gleichner, Drowzee, alpaca
Genaro Kuhic, Zapdos, marten
Suanne Turner, Omanyte, lizard
Kendrick Kiehn, Arbok, guinea pig
Aline Kling, Kakuna, rabbit
Mr. Eura Batz, Drowzee, bear
Rikki Feil, Rapidash, llama
Domenica Osinski, Hitmonlee, chimpanzee
Delcie Maggio, Eevee, hedgehog
Leonel Kub, Venusaur, lizard
Harley Schuppe, Tentacool, beetle
Joni Bechtelar, Bulbasaur, cockroach
Miss Jeni Kertzmann, Venonat, rabbit
Ty Ortiz, Dratini, mallard
Dr. Chasity Konopelski, Rhyhorn, mouse
Jame Cremin, Farfetch'd, eagle
Loreen Dach, Beedrill, trout
Jacalyn Grant, Primeape, locust
Ms. Curt Armstrong, Machoke, frog
Mr. Angila Mueller, Magneton, leopard
Mr. Edwin Kozey, Marowak, eel
Ed Crona, Flareon, ox
Jenelle Pagac, Parasect, camel
Novella Bosco, Raticate, zebra
Bethann Reinger, Weezing, oyster
Caryn VonRueden Sr., Hypno, sheep
Alfreda Beer, Fearow, beaver
Darrin Daniel, Snorlax, wasp
Zofia Keeling, Poliwag, skunk
Yadira Carroll, Mew, trout
Earle Kuhlman, Dratini, raccoon
Mrs. Damaris Moen, Poliwhirl, water buffalo
Darrel Vandervort, Charmeleon, impala
Shantell Mante, Zubat, woodchuck
Corey Howell, Ninetales, minnow
Jerrod Hauck PhD, Shellder, worm
Danita Huel, Pidgey, serval
Frankie Sanford PhD, Raichu, impala
Barrett Schulist II, Wigglytuff, hippopotamus
Mikki Boyer, Weepinbell, skunk
Margene Mayer, Scyther, snail
Maud Romaguera PhD, Diglett, cattle
Kimi Wilderman DDS, Voltorb, mink
Efrain Lesch, Staryu, cricket
Christian Streich, Dodrio, hare
Kenton Bashirian, Rattata, elephant
