Mary Schuster, Geodude, donkey
Vanita Senger I, Tentacruel, platypus
Twana Cassin, Dugtrio, fox
Conception Koss DDS, Seel, lion
Theda Altenwerth, Weezing, baboon
Daron Blick, Machamp, woodchuck
Jessenia Emmerich, Zubat, fox
Leif Dibbert, Snorlax, whale
Lila Moore, Kabuto, baboon
Rebbeca Yost, Raichu, walrus
Jina Barrows, Ekans, bat
Yung Windler I, Kingler, reindeer
Mr. Ignacio O'Connell, Seadra, beaver
Maryetta Schultz, Tentacool, scorpion
Delsie Hane, Bellsprout, termite
Dane Kulas IV, Doduo, marten
Ty Hegmann, Aerodactyl, termite
Michel Green, Pinsir, tiger
Elden Hessel, Jigglypuff, muskrat
Kurt Yost DDS, Primeape, duck
Essie Quitzon, Electrode, mouse
Louann Kertzmann, Wigglytuff, caribou
Steve Bruen, Diglett, mammoth
Misha Carroll, Nidoqueen, elephant
Ashli Schmitt, Psyduck, prairie dog
Kurtis Stokes Sr., Starmie, goose
Silas Schroeder, Weepinbell, buffalo
Lauren Hermann, Nidoran, shark
Thomasena Gleichner, Raticate, wallaby
Miss Raymundo Bins, Machoke, spider
Maurice Russel, Arbok, deer
Modesto Hand, Seadra, turtle 
Ty Turcotte, Blastoise, locust
Caitlyn Bogan, Wartortle, jellyfish
Maryland Moen Sr., Seaking, horse
Roy Keebler, Victreebel, platypus
Javier Jakubowski, Zubat, prairie dog
Garth Johnson, Krabby, bee
Jose Effertz, Golduck, leopard
Marla Welch, Lapras, hamster
Mrs. Dante Rau, Mew, sardine
Herman Boyle, Golduck, frog
Despina Heidenreich, Machamp, wasp
Alberta Boehm V, Sandslash, cicada
Cornelius Ebert, Mewtwo, yellowjacket
Chieko Price, Beedrill, bat
Nona Gleason, Magneton, grasshopper
Jospeh Bogisich, Caterpie, crab
Titus Champlin, Seaking, water buffalo
Kermit Lynch MD, Jigglypuff, mule
