Lynne Nolan, Golbat, sea lion
Tommie Dickinson, Growlithe, cricket
Therese Hayes DDS, Graveler, squirrel
Erich Parisian, Mew, hedgehog
Vannessa Johnston, Moltres, sea lion
Jeremiah Goodwin, Clefairy, moose
Herma Mitchell, Bellsprout, hare
Roosevelt Grimes, Hypno, eagle
Miss Sherlyn Haley, Squirtle, wasp
Carli Muller, Sandshrew, mink
Era Bailey, Muk, toad
Nga Donnelly, Charizard, cattle
Lu Flatley, Nidoqueen, crocodile
Coral Mayer, Tauros, skunk
Ralph Mraz, Slowpoke, goose
Ms. Jessenia Anderson, Raticate, otter
Darlena Schuster, Drowzee, koala
Buddy Wuckert, Magnemite, marten
Marvella Witting V, Staryu, spider
Hannah Batz, Kabutops, butterfly
Mr. Jessika Kihn, Caterpie, cockroach
Lashanda Klocko, Charizard, gnat
Florentino Mante, Weedle, louse
Marta Dooley, Pidgeot, chinchilla
Miss Mose Boehm, Parasect, coyote
Morris Corkery, Tentacool, panda
Aurelio Leuschke, Charmeleon, turtle 
Chase Daniel MD, Lickitung, lion
Jamison Lang, Wigglytuff, termite
Bee Schoen Sr., Dodrio, frog
Jacob Marquardt, Snorlax, leopard
Mr. Enriqueta Gleichner, Sandslash, mammoth
Miss Christin Cartwright, Slowpoke, wasp
Alvaro Gutmann, Articuno, bee
Marica Hoppe, Vaporeon, jellyfish
Gwyneth Dickens, Pidgeotto, donkey
Drema Lockman, Weedle, dolphin
Latrice O'Connell, Kadabra, cockroach
Jefferson Morissette, Mewtwo, scorpion
Josue Schuppe PhD, Mankey, chimpanzee
Miles Rodriguez, Articuno, ant
Jonie Treutel, Beedrill, sea lion
Jeannette White, Goldeen, walrus
Dr. Ardella Schneider, Mankey, donkey
Chong Wisoky, Kangaskhan, panda
Tula Roberts, Muk, bat
Lavenia Kshlerin IV, Clefable, jellyfish
Dr. Ehtel Powlowski, Gengar, armadillo
Lorine Hansen, Nidorino, raccoon
Rudy Turcotte DVM, Zapdos, goldfish
