Rosalinda Pacocha, Magmar, wildebeest
Augustus Kling, Lapras, mammoth
Ray McCullough, Seel, turtle 
Hortensia Mertz, Kabutops, guinea pig
John Sawayn II, Primeape, wallaby
Miss Bruno Douglas, Weezing, crocodile
Beau Stiedemann, Ekans, mouse
George Rodriguez, Tentacruel, goldfish
Branden Bartell, Aerodactyl, eel
Steve Frami, Farfetch'd, antelope
Miss Jeffry Heathcote, Dugtrio, leopard
Carolann Kub, Clefairy, hare
Lyndon Stamm, Zubat, moose
Artie Farrell DDS, Dratini, turtle 
Tianna Willms II, Gengar, llama
Michael Funk, Rattata, elephant
Herb Lindgren I, Jolteon, chinchilla
Claudio Padberg, Dragonair, manatee
Bennett Gerlach, Graveler, yak
Paris Rogahn, Machamp, jellyfish
Shanda Balistreri, Jigglypuff, whale
Marcelo Kemmer, Dodrio, badger
Raymonde Shields, Rattata, beaver
Miss Rebekah Veum, Pikachu, alligator
Lissa Dickinson DDS, Ninetales, dog
Ashlie Hoeger, Articuno, skunk
Zulma Lindgren Sr., Kangaskhan, termite
Jed Ziemann, Dugtrio, weasel
Shaun Mayert, Zapdos, impala
Jonathan Vandervort, Omanyte, elk
Evan Donnelly, Flareon, butterfly
Quinn Effertz, Wigglytuff, weasel
Miss Neely Rolfson, Omastar, ferret
Cyndy Turcotte, Squirtle, gerbil
Chery Cronin II, Krabby, antelope
Isaiah Harber, Omanyte, spider
Catarina Hudson V, Marowak, gnu
Amiee Roob, Mr. Mime, raven
Preston Collier, Dewgong, llama
Jeraldine Aufderhar PhD, Alakazam, dog
Tomas Zieme, Horsea, sheep
Danica Zemlak, Pidgeot, macaw
Danica Mitchell, Squirtle, ant
Karena Wilkinson, Bulbasaur, ox
Bret Ebert, Caterpie, ox
Kristina Shanahan DVM, Hypno, marten
Sheena Collier DVM, Vileplume, woodchuck
Onita Fay, Machamp, oyster
Jovan Kuvalis, Pinsir, ape
Mrs. Rosendo Kulas, Magneton, hippopotamus
