Delmar Bergstrom, Nidorina, eel
Lakeshia Lubowitz, Arcanine, yak
Milly Hilll, Primeape, cockroach
Adeline Feil, Kabutops, zebra
Lindsay Blick, Ekans, pig
Penni Dare, Machoke, leopard
Efren Waters, Tentacruel, beaver
Chong Beer III, Ponyta, snake
Sergio Morissette, Vaporeon, rabbit
Lorilee Simonis, Ninetales, cicada
Vern Jenkins, Staryu, mallard
Cristopher Fahey, Krabby, llama
Alta Veum, Hypno, fish
Mrs. Richard Roberts, Vulpix, spider
Neil Emard, Meowth, bear
Jenniffer Schultz, Zubat, dolphin
Mrs. Cordelia Conroy, Chansey, impala
Duncan Feil, Poliwag, mole
Ramon Grant, Golduck, moose
Jennie Prosacco, Zubat, baboon
Roberto Pfannerstill, Voltorb, sea lion
Brent Kohler, Abra, pug
Mabel Simonis, Beedrill, buffalo
Vincenzo Rohan, Tentacruel, goose
Miss Augustus Keebler, Marowak, moose
Miss Rolando Runolfsson, Weedle, swan
Donny Dietrich DVM, Gyarados, skunk
Freddie Labadie, Poliwrath, mink
Nestor Dietrich, Sandslash, hornet
Miss Michel Torphy, Goldeen, trout
Olin Thiel V, Geodude, deer
Rachele Stokes, Zapdos, whale
Claudio Runolfsson, Flareon, ferret
Bess Terry, Haunter, jackal
Dr. Kermit Schiller, Drowzee, antelope
Yajaira Moore, Sandshrew, crocodile
Burma Gottlieb, Tentacool, fly
Theola Weimann DVM, Venusaur, snail
Nathanael Gibson, Poliwag, wombat
Martin Gutkowski, Ekans, monkey
Olimpia Jones, Raichu, shark
Vella Lubowitz II, Bellsprout, butterfly
Herbert Rolfson, Rattata, duck
Francis Batz, Kangaskhan, cheetah
Tambra Kunde IV, Primeape, yak
Zona Vandervort, Seaking, sardine
Mrs. Jacquline McDermott, Articuno, cattle
Mr. Eugene Lang, Ivysaur, wombat
Dr. Lonnie Wunsch, Marowak, baboon
Ms. Oren Kris, Oddish, chinchilla
