Sandy Davis, Oddish, hare
Arthur Veum DDS, Poliwhirl, cod
Olin Moore IV, Pinsir, wombat
Courtney McDermott Jr., Seaking, tiger
Christia Vandervort, Goldeen, clam
Mohammad McDermott I, Arcanine, goose
Rhett Stracke MD, Poliwag, panda
Maureen Kshlerin, Gyarados, crow
Shantae Mohr, Hitmonlee, dog
Linh Wiegand, Electrode, jackal
Dr. Johnnie Purdy, Ditto, gorilla
Carey Cummerata, Nidorino, zebra
Serina Cronin, Jigglypuff, alligator
Danille Waelchi, Vaporeon, yak
Melinda Kiehn, Bulbasaur, cattle
Veta Larkin, Weezing, elephant
Dr. Roland Hoeger, Kangaskhan, shark
Clemmie Gerlach, Clefairy, jackal
Alva Fahey, Pidgeot, oyster
Kellee Leffler, Porygon, yellowjacket
Cordia Dicki, Onix, mink
Kristine Dooley, Spearow, frog
Manda Goodwin PhD, Machop, bear
Austin Mertz, Nidorino, koala
Marya Padberg, Aerodactyl, beaver
Jeramy Mitchell, Eevee, beaver
Rosetta Emard, Butterfree, bee
Louis Klocko, Nidoran, eagle
Dr. Eusebio Shields, Flareon, crocodile
Milan Feest, Seadra, moose
Mervin Feil, Sandslash, reindeer
Dr. Kiera Sanford, Ivysaur, woodchuck
Cary Borer DVM, Charmeleon, yak
Bradley Goodwin, Dragonair, dinosaur
Johnny Waters, Cubone, swan
Erlene Quitzon, Chansey, swan
Tillie Pfannerstill, Venomoth, herring
Noel Terry, Clefairy, sheep
Mrs. Jacklyn Lueilwitz, Wartortle, worm
Devon Sipes, Dragonite, buffalo
Roberto Welch, Farfetch'd, woodchuck
Valentina Considine, Venonat, armadillo
Otis Streich, Vileplume, snail
Phung Gerlach III, Raticate, camel
Dean Pollich, Poliwag, hornet
Dominick Reichert, Beedrill, chinchilla
Sallie Gutkowski, Omanyte, elk
Raelene Cruickshank V, Bellsprout, lizard
Sharika Connelly, Geodude, hound
Numbers Hills, Rattata, mosquito
