Nakisha Lubowitz, Geodude, beetle
Dr. Naoma Sawayn, Ninetales, koala
Lasandra Kautzer, Caterpie, wasp
Virgil Armstrong, Farfetch'd, mule
Trinidad Hahn, Ponyta, buffalo
Willy Ortiz, Doduo, crow
Charline Robel DVM, Nidoqueen, spider
Miss Lilli Nicolas, Starmie, llama
Herb Kub, Ditto, yellowjacket
Jon Windler I, Doduo, wildebeest
Jana Bashirian, Bellsprout, pig
Tyler Gleason, Hitmonchan, locust
Enoch Klocko, Mr. Mime, manatee
Tyrone Bergnaum, Metapod, rabbit
Mrs. Dominick Mueller, Rattata, rhinoceros
Louetta Willms II, Doduo, antelope
Miss Jeremy Medhurst, Electrode, salmon
Simonne Mayer, Squirtle, yak
Lorretta Greenfelder, Cloyster, grasshopper
Marylou Rau, Vulpix, sea lion
Arden O'Connell, Sandslash, cockroach
Sam Harris II, Exeggcute, ox
Lizbeth Pagac, Abra, impala
Mrs. Aurelio Herman, Venomoth, seal
Caitlyn Oberbrunner, Tangela, armadillo
Francesco Barton, Muk, skunk
Tenesha Keebler, Hitmonlee, zebra
Drew Abshire, Drowzee, snake
Abraham Dickinson, Vileplume, eel
Despina Sipes, Nidoran, sardine
Felix Deckow Jr., Zapdos, gorilla
Darrin Marks, Raticate, hare
Soraya Skiles, Zapdos, bee
Branda Walker, Fearow, impala
Dr. Vance Homenick, Marowak, raccoon
Ethan Ryan, Dugtrio, caribou
Dr. Marguerita Windler, Primeape, rabbit
Laurice Nolan III, Machamp, woodchuck
Akiko Casper, Raticate, hippopotamus
Jackie Sporer, Growlithe, mole
Hobert Lesch, Nidoran, seal
Michiko Hilpert, Seadra, shark
Joan Miller, Vulpix, crab
Francisco Abbott, Pikachu, camel
Iris Tillman MD, Slowpoke, antelope
Keiko Boehm, Hitmonlee, wombat
Asley Spinka, Hitmonlee, monkey
Rudy Predovic, Rapidash, gerbil
Miss Williams Wisoky, Eevee, leopard
Stefanie Boyer, Kakuna, oyster
