Mrs. Lane Mueller, Poliwag, termite
Shari Bogisich, Golbat, rabbit
Eldon Hills, Machamp, mouse
Cletus VonRueden, Rattata, swan
Naomi Crooks, Tauros, marten
Dr. Quiana Russel, Beedrill, chimpanzee
Mrs. Marquitta Pfeffer, Fearow, ox
Arlena Gulgowski PhD, Magmar, trout
Trey Zboncak, Dratini, chimpanzee
Roger Waters, Paras, donkey
Cami Erdman, Pinsir, sheep
Ivana Schinner, Ivysaur, mole
Myrta Watsica, Charmander, whale
Chu Haag, Growlithe, guinea pig
Kay Kuhn, Raichu, cheetah
Felipe Adams, Nidorino, guinea pig
Venus Little, Dragonite, tiger
Luise Gutkowski, Muk, rhinoceros
Treva Emmerich Jr., Seel, clam
Flo Kling, Charmander, cricket
Sabrina O'Keefe, Alakazam, cattle
Colin Corkery, Hitmonlee, cod
Oliver Welch, Omastar, wallaby
Jonathon Runolfsdottir, Vaporeon, raccoon
Clyde Hahn DDS, Ditto, jackal
Sonya DuBuque, Bellsprout, lizard
Delia Skiles, Victreebel, rabbit
Shawn Hagenes, Clefable, raccoon
Frances Nienow, Wigglytuff, mosquito
Mr. Chas Thiel, Nidorina, shark
Yesenia Robel, Abra, hyena
Kate Little, Eevee, snail
Lisa Legros, Hitmonchan, butterfly
Mr. Madeline Ferry, Kakuna, rat
Dr. Carlena Wiegand, Wartortle, goat
Brigette Quitzon, Jynx, reindeer
Laurice Jaskolski PhD, Gyarados, gerbil
Liza Heathcote, Magneton, antelope
Hyman O'Hara, Primeape, marten
Jaime Welch, Poliwag, alpaca
Mitchell Predovic, Doduo, elk
Miss Shamika Doyle, Exeggcute, cattle
Milton Daniel, Rhyhorn, mule
Mrs. Micah Ernser, Primeape, porcupine
Theron Willms, Marowak, donkey
Mrs. Fermina Koepp, Gastly, butterfly
Kandy Greenholt, Dodrio, tortoise
Loren Thompson, Marowak, rhinoceros
Steven Leuschke, Psyduck, ferret
Lincoln Hudson, Machamp, clam
