Dara Dicki, Wigglytuff, rabbit
Joana Nicolas, Golem, shark
Marketta Braun, Koffing, herring
Dr. Joseph Luettgen, Vulpix, water buffalo
Jamie Grimes MD, Muk, yak
Dr. Willie Gibson, Kadabra, macaw
Frederick Shields, Snorlax, scorpion
Lorelei Harris MD, Parasect, panda
Tory Douglas, Staryu, minnow
Bruna Rath, Pidgeotto, sea lion
Paris Macejkovic, Marowak, cheetah
Dr. Marline Witting, Hitmonchan, yellowjacket
Jeanie Kemmer IV, Voltorb, gorilla
Ellis Hackett, Dugtrio, kangaroo
Mildred Mertz, Ivysaur, eagle
Nathaniel Farrell, Seadra, crab
Tish Jerde, Bulbasaur, tiger
Yi Bradtke, Lickitung, cod
Elmer Hackett, Vileplume, camel
Liliana Hilpert, Shellder, kangaroo
Lakeisha Barrows, Kingler, dog
Junko Towne, Magnemite, mouse
Mrs. Rocco Halvorson, Pinsir, shark
Bernardo Muller, Abra, mink
Barton Luettgen, Lapras, chimpanzee
Armand Rolfson, Paras, eagle
Seymour Rippin, Rattata, ant
Mrs. Lucia McDermott, Poliwrath, hamster
Miss Karie Wisoky, Golem, seal
Gus Raynor, Doduo, baboon
Buck O'Connell, Jigglypuff, goat
Miss Cristobal Swaniawski, Mankey, skunk
Roseann Halvorson, Geodude, chinchilla
Ms. Abram Nitzsche, Starmie, elephant
Annemarie Collins IV, Kadabra, caribou
Lauren Hills, Chansey, minnow
Leonora Turcotte, Geodude, camel
Sheldon Bashirian, Paras, monkey
Tenesha Homenick, Pidgey, leopard
Katharina Kirlin, Venomoth, rabbit
Chantal Littel DVM, Abra, sardine
Francis Rath Jr., Krabby, cat
Micheal Hartmann V, Horsea, horse
Edwin Bogisich, Dewgong, crab
Judson Stamm, Electabuzz, louse
Dr. Austin Schmeler, Alakazam, armadillo
Brynn Jast, Clefable, ant
Priscilla Stehr, Doduo, dinosaur
Jerrell Halvorson, Zapdos, toad
Brendan Langworth, Meowth, wasp
