Ian Mraz, Dragonite, hound
Dr. Winnie Hauck, Venonat, elephant
Benton Wiegand, Psyduck, raccoon
Dr. Winnifred Powlowski, Moltres, worm
Leroy Romaguera, Dodrio, wildebeest
Alvina Ledner, Golbat, wolf
Terrie Roberts, Ditto, donkey
Kaley Labadie, Machoke, gorilla
Randy Spinka, Tangela, jellyfish
Claire Bayer, Bulbasaur, rhinoceros
Linnie Stanton, Starmie, dog
Richard Hackett, Zapdos, leopard
Dr. Elma Legros, Pikachu, dolphin
Mrs. Stefan Hackett, Snorlax, water buffalo
Paris Littel, Chansey, gnat
Mrs. Charla Leannon, Mr. Mime, mammoth
Walter Johns III, Nidoqueen, lizard
Elfrieda Schmeler Jr., Venonat, reindeer
Becki Russel DDS, Porygon, marten
Demarcus Kessler, Golduck, cockroach
Mrs. Eddie Douglas, Dodrio, scorpion
Asha Wunsch I, Mew, clam
Wallace Huel, Charmeleon, monkey
Garfield Hoeger, Flareon, hound
Brendon Flatley, Ditto, gerbil
Mrs. Bertram Nolan, Electrode, rat
Regan Reynolds, Ditto, porpoise
Davina Gleichner, Psyduck, porpoise
Evita Schroeder, Doduo, crocodile
Fritz Kuhlman, Nidoking, crow
Kelsi Daniel, Cubone, termite
Alvina Feeney Sr., Shellder, goose
Long Waters, Nidoqueen, hare
Ms. Adriana Prohaska, Hitmonlee, lizard
Reyes Schroeder DDS, Vileplume, platypus
Jammie Funk, Mewtwo, elephant
Earnest Klein III, Venusaur, otter
Rufina Johnson, Persian, eagle
Kent Bode PhD, Weepinbell, eagle
Jerome Jaskolski, Bulbasaur, wallaby
Monty Bartoletti II, Metapod, alpaca
Jen Kuphal, Raichu, hare
Miss Caroll Bauch, Haunter, trout
Arron Bergnaum, Machamp, hyena
Deshawn Stanton, Kabutops, moose
Tori Senger Jr., Clefable, horse
Edgar Heathcote, Nidoking, lion
Casey Runte, Meowth, sardine
Edith Bednar, Kakuna, giraffe
Altagracia Mante, Venomoth, leopard
