Reita Hartmann Sr., Chansey, seal
Zack Thompson, Ekans, seal
Marcelino Crist Sr., Oddish, goose
Hoyt Kuphal, Haunter, whale
Abraham Nicolas I, Staryu, hyena
Shizue Yost DDS, Bellsprout, mouse
Collene Kessler, Koffing, jellyfish
Johnetta D'Amore, Wigglytuff, beaver
Gearldine Welch, Arcanine, coyote
Valorie Kautzer, Kadabra, gnu
Julienne Bruen, Wigglytuff, mammoth
Porter Kshlerin, Squirtle, rat
Marco Bradtke, Dragonair, baboon
Sharri Bartell, Wigglytuff, impala
Hershel Lesch, Machamp, chimpanzee
Clarence Koepp, Nidoking, serval
Clark Kiehn IV, Golbat, guinea pig
Quinton Kassulke, Magnemite, platypus
Lauren Rau, Golbat, raccoon
Hattie Lakin, Poliwhirl, crocodile
Miss Ashlie Yost, Marowak, antelope
Shemeka White, Mewtwo, rabbit
Adalberto Hackett, Cubone, water buffalo
Vita Rutherford, Butterfree, moose
Keenan Grant V, Farfetch'd, antelope
Floyd Zulauf, Beedrill, buffalo
Carl Wolf, Marowak, leopard
Angla Daugherty, Muk, mink
Terresa Harris, Mr. Mime, platypus
Rozella Wisozk, Poliwag, fish
Randolph Bartell, Abra, oyster
Marquis Boehm II, Kangaskhan, goose
Dr. Lucius Nicolas, Arbok, macaw
Lorenzo Beer, Diglett, termite
Benjamin Shields, Farfetch'd, mosquito
Ms. Felton Wyman, Wartortle, crocodile
Halina Witting, Weezing, pug
Jeanie Ritchie, Wartortle, grasshopper
Ginny Zemlak, Caterpie, worm
Kraig West, Jynx, termite
Kitty Borer, Mankey, lizard
Basil Fadel, Farfetch'd, squirrel
Miss Clifton Stoltenberg, Ditto, goldfish
Jordan Pouros V, Charmander, alligator
Cameron Anderson II, Mankey, hedgehog
Theresia Beer, Mewtwo, pug
Bob Beier, Eevee, worm
Mrs. Kasi Gerhold, Abra, cat
Rubin Schulist MD, Seaking, mole
Mohamed Pacocha, Vaporeon, fish
