Seth Connelly, Goldeen, pig
Goldie Keebler, Starmie, whale
Nadene Padberg DVM, Clefable, mouse
Ulysses Walker, Nidoking, caribou
Ms. Kortney Prosacco, Jigglypuff, tiger
Elias Stanton II, Psyduck, toad
Mr. Carmen Brakus, Magnemite, whale
Casey O'Hara, Scyther, cicada
Carroll Ondricka, Rattata, prairie dog
Suanne Leuschke, Electrode, jellyfish
Nathanial Wunsch, Cubone, mink
Joey Reichert Sr., Gyarados, wildebeest
Boyd Bauch, Ekans, ferret
Twanda Leannon MD, Primeape, tortoise
Ms. Kristian Stracke, Magneton, turtle 
Drew Ritchie, Articuno, bee
Young Wolf, Nidoran, rhinoceros
Thomasine MacGyver DDS, Scyther, reindeer
Britney Koss, Kabuto, caribou
Ms. Efrain Ebert, Shellder, donkey
Elroy Maggio, Dodrio, camel
Kathey Ledner, Charizard, badger
Hank Stehr, Rhydon, herring
Miss Terry Franecki, Omastar, crocodile
Venessa Schiller, Gyarados, raccoon
Kaycee Jacobson, Nidoran, cheetah
Addie Wehner, Poliwhirl, marten
Miss Lai Dare, Muk, snail
Josue Nitzsche, Poliwhirl, koala
Carlo Ferry, Hitmonlee, hedgehog
Flavia Stamm, Gyarados, coyote
Kristal Rutherford, Bellsprout, mammoth
Jeramy Hills, Poliwag, horse
Barry Gerlach V, Sandslash, hamster
Mrs. Anderson Armstrong, Arbok, swan
Edmond Sporer, Wartortle, macaw
Oswaldo O'Hara Jr., Beedrill, rat
Sherril Klocko I, Zubat, snail
Rosendo Schumm, Vaporeon, jackal
Francisco Rippin, Scyther, eel
Leandra Mohr, Arbok, goat
Wesley Smitham, Eevee, goose
Tad Bailey, Articuno, chimpanzee
Noah Okuneva, Staryu, locust
Mr. Charlyn Nader, Magikarp, cricket
Steve Rosenbaum DDS, Poliwrath, pig
Cameron Connelly, Rhyhorn, wombat
Horace Larkin, Seaking, otter
Dr. Eulah Kessler, Kingler, cockroach
Miss Geoffrey Monahan, Haunter, chimpanzee
