Bernardo Lang I, Caterpie, crab
Rose Herzog, Flareon, jackal
Tyron Ernser, Horsea, toad
Kathey Smith, Paras, swan
Morgan Schuppe, Lapras, goose
Adan Kuhn PhD, Zapdos, yellowjacket
Xavier Dibbert, Machamp, water buffalo
Angelo Larson, Goldeen, duck
Collin Wisozk MD, Hitmonlee, cricket
Tasia Daniel, Rhydon, deer
Joe Schroeder, Squirtle, hippopotamus
Veta Jenkins DVM, Electabuzz, toad
Marth Olson, Poliwag, fly
Irwin Mohr, Hitmonchan, trout
Bonita Prohaska, Exeggutor, jellyfish
Miguel MacGyver, Venusaur, duck
Tania Leffler Jr., Weedle, wombat
Stefan Morar, Growlithe, turtle 
Becki Stroman III, Starmie, monkey
Miguel Glover, Magmar, mink
Ying Robel, Butterfree, goat
Trevor Little, Mankey, seal
Luke Welch, Magikarp, moose
Glady Batz III, Articuno, fly
Mr. Marty Smith, Seaking, walrus
Mr. Bridgette Stehr, Metapod, sea lion
Gil Ernser, Machamp, yellowjacket
Dr. Elayne Mayert, Slowbro, rabbit
Olen Klocko, Clefable, cat
Ms. Dylan Macejkovic, Hitmonlee, goat
Colby Cremin, Dugtrio, duck
Stephan Boyer I, Golbat, buffalo
Norman Kunde DDS, Oddish, tiger
Conrad Jacobson DDS, Seadra, snail
Joselyn Nikolaus, Onix, prairie dog
Orville Cole, Beedrill, goat
Enrique Sanford, Electrode, rat
Candyce O'Connell V, Nidoran, mole
Nella Mills, Parasect, rat
Robby Veum, Ponyta, sea lion
Ida Bechtelar, Ninetales, weasel
Faith Mayer MD, Gengar, macaw
Kathe Stiedemann, Omanyte, badger
Remedios Feest, Electabuzz, rhinoceros
Janis Feest, Moltres, beaver
Mr. Sheldon Jakubowski, Machoke, deer
Santo Keebler II, Ditto, gnat
Clare Windler, Weedle, jackal
Kenneth Johns, Clefairy, frog
Jamel Champlin I, Gyarados, crow
