Sterling Jacobs II, Jynx, salmon
Roberta Legros, Golbat, whale
Todd Wilkinson, Metapod, impala
Laurence Bartell, Hypno, cockroach
Gale Gulgowski, Diglett, alpaca
Eugene Kerluke, Sandslash, cricket
Romeo Welch, Tauros, jackal
Sandy Olson, Voltorb, mouse
Sasha Kozey Sr., Magneton, scorpion
Evelina Homenick, Haunter, pug
Mckenzie Strosin, Shellder, mallard
Jerry Stokes, Snorlax, oyster
Miss Angelita Greenfelder, Drowzee, rat
Trey Prosacco, Bellsprout, cicada
Marcela Prohaska, Oddish, alpaca
Lakesha Turcotte, Ninetales, camel
Sol Lowe, Lapras, goat
Dr. Trudie Mohr, Diglett, mammoth
Colby Ankunding, Muk, hippopotamus
Romeo Borer, Dragonair, caribou
George Schaefer, Weezing, rat
Ms. Ericka Auer, Ninetales, sheep
Simon Yost, Raichu, sea lion
Tiffany Spencer V, Muk, ant
Chris Rutherford DVM, Bellsprout, fox
Ayana Kunde, Flareon, sardine
Dave Mertz, Shellder, crocodile
Fay Marks, Tentacool, wallaby
Adelaida Waters, Horsea, armadillo
Yung Stoltenberg, Oddish, yak
Eddy Ledner, Vileplume, clam
Tova Roberts, Rhyhorn, whale
Todd Trantow DVM, Eevee, coyote
Miss Sherri Fritsch, Seaking, deer
Marlena Davis I, Dragonair, goat
Saundra Kulas Sr., Koffing, pug
Lon Sanford, Dewgong, hornet
Johnnie Kerluke, Pinsir, skunk
Miss Korey Haley, Mew, seal
Kiera Bartell, Jolteon, porpoise
Mr. Stuart Kessler, Diglett, jellyfish
Sterling Doyle, Pikachu, snail
Ms. Isidra Pfannerstill, Rhydon, mouse
Wiley Koepp, Dragonair, alligator
Tracy Hagenes, Sandslash, coyote
Rodolfo Jakubowski, Diglett, woodchuck
Mrs. Houston Crooks, Vaporeon, camel
Noelia Hegmann, Kingler, goat
Lakenya Koelpin, Persian, dog
Miss Eun Wuckert, Bulbasaur, porpoise
