Emilio Swaniawski, Poliwrath, horse
Mr. Setsuko Parker, Staryu, sheep
Ms. Hobert Pagac, Staryu, rhinoceros
Earl Goldner, Vaporeon, goldfish
Isaac Block, Dragonair, zebra
Erlinda Abbott, Tentacool, llama
Cyrus Turner, Weezing, bat
Isreal Hilpert, Drowzee, butterfly
Lloyd Hyatt, Raichu, platypus
Keisha Huels PhD, Arcanine, reindeer
Duncan Howell, Pidgeotto, pig
Refugia Harvey, Poliwag, cattle
Candy Mosciski, Articuno, termite
Sabina Durgan, Graveler, eagle
Kristel Bogisich MD, Metapod, wallaby
Hanna Strosin, Parasect, coyote
Morton D'Amore, Pinsir, beetle
Harvey Franecki, Sandshrew, minnow
Cornelius Konopelski, Tangela, monkey
Thersa Beahan, Magmar, muskrat
Bok Quitzon, Kabuto, cockroach
Mr. Estella Blick, Vaporeon, woodchuck
Brian Sawayn, Charmander, rabbit
Kerrie Johnston, Venomoth, goose
Miss Joshua Crooks, Poliwrath, rhinoceros
William Swift, Machoke, buffalo
Gwen Corwin, Beedrill, yellowjacket
France Corwin, Nidoran, tortoise
Nohemi Grady I, Zapdos, wildebeest
Rory Kuhic III, Dewgong, sardine
Carly Nikolaus, Bulbasaur, koala
Miss Laine Renner, Magnemite, squirrel
Francis Prohaska Jr., Goldeen, goldfish
Andre Zulauf, Dodrio, toad
Mathew Romaguera, Jolteon, baboon
Rueben Leuschke IV, Koffing, rat
Shayna Stehr II, Charizard, porpoise
Zack Swift, Rhydon, cicada
Porsha Little, Ivysaur, guinea pig
Neal Koss Sr., Weedle, crocodile
Bernarda Lind, Sandshrew, sardine
Mr. Erna Jacobs, Dodrio, sardine
Eloisa Jerde, Articuno, eel
Nathanial Dietrich III, Blastoise, fly
Lazaro Doyle, Nidorina, grasshopper
Johnathan Fritsch, Poliwag, wombat
Ninfa Abbott, Seaking, hippopotamus
Deon Collier II, Tentacruel, frog
Richie Lynch, Snorlax, ferret
Darnell Wilkinson, Butterfree, tortoise
