Barton Satterfield, Hitmonlee, mosquito
Bryon Hane, Haunter, cricket
Wei O'Conner, Shellder, turtle 
Betty Olson, Seaking, baboon
Carolyne Pouros, Geodude, gnu
Edwin Dietrich, Starmie, bee
Linwood Yundt DVM, Rhydon, gorilla
Chong Muller DDS, Parasect, impala
Joshua Becker, Dodrio, weasel
Ms. Flor Gaylord, Weedle, wallaby
Bobbie Bechtelar IV, Moltres, baboon
Milo Hammes Jr., Mew, porpoise
Les Becker PhD, Kingler, worm
Austin Padberg, Caterpie, salmon
Josh Kihn PhD, Kabuto, mosquito
Loretta Wisoky, Kingler, oyster
Mike Schmidt, Cubone, oyster
Carmine Mosciski, Gastly, scorpion
Francesco Mayer, Chansey, cod
Mr. Lenna Hansen, Kakuna, monkey
Mr. Caroline Koss, Chansey, fly
Jeanne Jerde, Mr. Mime, macaw
Katerine Murazik, Paras, water buffalo
Adina Emmerich, Dratini, whale
Mr. Anne Schumm, Rhydon, guinea pig
Ophelia Dibbert, Machoke, walrus
Millicent Tromp, Krabby, skunk
Josh Carroll, Kadabra, snake
Julissa Hirthe, Starmie, armadillo
Melia Purdy MD, Haunter, spider
Camille Jacobson PhD, Kadabra, sardine
Frankie Nicolas, Pinsir, mouse
Merrill Vandervort, Rapidash, crab
Bill Wolf, Lickitung, dolphin
Tracy Lehner, Dodrio, armadillo
Deandrea Cronin, Victreebel, snake
Pricilla Hoppe, Magmar, impala
Alex Boehm, Electabuzz, serval
Clint Langworth, Arcanine, kangaroo
Alva O'Conner DVM, Krabby, manatee
Kimbery Hahn V, Machamp, wildebeest
Kayce Fisher, Primeape, ox
Devorah Cronin, Weezing, deer
Mr. Carley Rohan, Jynx, serval
Dr. Randy Gottlieb, Marowak, louse
Dr. Herbert Moore, Haunter, spider
Leandro Dietrich, Venusaur, macaw
Leilani Schiller, Weepinbell, pug
Cristopher Mueller, Exeggcute, raccoon
Kathlyn Swaniawski, Mewtwo, walrus
