Katheleen Schmitt, Primeape, dog
Sung Koelpin, Nidoran, alligator
Franklin Dietrich Sr., Zapdos, raccoon
Altagracia Connelly, Mr. Mime, crocodile
Merrill Kozey, Weepinbell, walrus
Sade Bins, Magnemite, caribou
Danilo Padberg, Growlithe, hippopotamus
Jack Armstrong, Snorlax, pug
Ms. Ted Batz, Growlithe, leopard
Reginald Williamson MD, Ekans, goose
Del Kuhlman DVM, Chansey, yak
Clyde Skiles, Dragonite, crocodile
Josiah Waters, Doduo, alligator
Brad Glover MD, Haunter, gorilla
Kelley Harber V, Exeggcute, snake
Chery Hudson MD, Machop, spider
Monty Halvorson, Ivysaur, salmon
Aubrey Morissette, Metapod, rabbit
Dwain Kuhlman, Ekans, fox
Celia Ratke, Horsea, herring
Barry Luettgen, Seaking, jackal
Ronni Wolff, Porygon, bear
Timmy Russel, Ponyta, ferret
Dr. Hedy Hand, Farfetch'd, manatee
Quincy Cremin, Omanyte, tiger
Marietta Bosco, Omanyte, gnat
Jamie Baumbach IV, Lickitung, termite
Zulema Welch, Blastoise, dolphin
Laurice Luettgen, Wigglytuff, crab
Shelli Marvin, Growlithe, beaver
Herma Reichert, Horsea, lion
Ms. Nolan Treutel, Muk, beaver
Olene Balistreri, Metapod, herring
Colby Lueilwitz PhD, Charmander, herring
Mose Conroy, Bellsprout, walrus
Eileen Wolf, Weepinbell, mule
Lera Crona, Primeape, cockroach
Kristyn Prohaska, Rapidash, trout
Silas Walter, Mankey, scorpion
Miss Jaleesa Wuckert, Rattata, cheetah
Ms. Nora Herman, Kabutops, wallaby
Enoch Nikolaus, Electrode, spider
Raguel Hamill, Pidgeot, ox
Keira Hintz, Koffing, eagle
Corey Mertz, Meowth, jackal
Ozzie Nolan, Wartortle, cockroach
Isabella Walker, Golem, bee
Marvin Rohan, Seadra, serval
Hildegarde Treutel, Weedle, mole
Jeannie Bayer, Exeggutor, hippopotamus
