Dr. Bonny Hansen, Seel, horse
Loan Raynor, Arbok, mosquito
Sherika Upton, Zapdos, pig
Mr. Nathanael Bogan, Nidoran, donkey
Maritza Champlin, Sandslash, mosquito
Otilia Schuppe, Lapras, chimpanzee
Shayne Schuster, Kabutops, manatee
Mr. Fernanda Jerde, Bulbasaur, clam
Harold Reilly, Haunter, muskrat
Morton Howell V, Oddish, donkey
Nikole Wisozk, Gengar, snake
Halina Bosco, Magikarp, otter
Miss Seth Schneider, Dragonair, spider
Felipe Shanahan, Jigglypuff, mouse
Domenica Beahan, Snorlax, whale
Ellsworth Upton, Raticate, fly
Buck Sporer, Nidorino, rat
Mamie Heathcote, Wigglytuff, minnow
Delmer Daniel, Vulpix, termite
Miss Cruz Simonis, Pidgey, sheep
Ivan Buckridge, Cubone, eel
Cammie Dibbert, Kabutops, scorpion
Chuck Treutel, Geodude, wallaby
Sophie Pfeffer, Staryu, guinea pig
Randall Schuster, Pidgeot, bat
Ms. Lupe Cummings, Mewtwo, frog
Daron Erdman, Jolteon, seal
Vern Hickle, Drowzee, frog
Dr. Josefine Prohaska, Raichu, tortoise
Miss Merlin Boyle, Eevee, hedgehog
Ms. Alexandria Murray, Hitmonchan, deer
Salome Farrell, Bellsprout, cricket
Miss Marget Gaylord, Starmie, rat
Fallon Frami, Seadra, salmon
Isreal Abshire, Golem, alpaca
Patrick Bartoletti, Gloom, gorilla
Kanisha Rath Jr., Seadra, fish
Ms. Booker Mayert, Poliwrath, gorilla
Reagan Farrell, Pidgeotto, grasshopper
Jasper Mueller, Rhydon, goose
Zackary Marvin MD, Bellsprout, fly
Bradley DuBuque, Mewtwo, frog
Miss Lenard Auer, Dragonair, dolphin
Zane Johns, Weepinbell, llama
Audrea Schmidt, Tangela, wildebeest
Paul Denesik V, Nidoqueen, hornet
Lino Barrows, Seaking, butterfly
Keven Berge, Ekans, ant
Theo Fay, Tangela, serval
Shandi Abbott, Slowbro, toad
