Shannan Quitzon, Porygon, beetle
Mrs. Virgil Emmerich, Geodude, mouse
Miss Mozell Mosciski, Clefable, grasshopper
Maricela Cruickshank V, Weezing, goat
Rosalie Green, Mewtwo, dinosaur
Jeremiah Kiehn, Caterpie, horse
Major Walker, Primeape, water buffalo
Leilani Tremblay, Drowzee, badger
Donte Ondricka, Tentacool, trout
Leon Schaden DDS, Scyther, cat
Ty Luettgen, Arbok, prairie dog
Josh O'Kon, Electabuzz, tiger
Sharie Abshire, Omastar, grasshopper
Timothy Baumbach I, Wigglytuff, squirrel
Zachariah Stanton, Eevee, squirrel
Siobhan Waters, Zubat, hippopotamus
Laree Ritchie, Mewtwo, walrus
Ervin Kirlin PhD, Pikachu, kangaroo
Celinda Grimes III, Electabuzz, rhinoceros
Mr. Zina Nicolas, Growlithe, crab
Royce Harris, Gyarados, muskrat
Tad Goyette, Nidoran, crab
Lesley Torp, Tangela, dinosaur
Miss Alton Bosco, Doduo, herring
Arlette Wiegand V, Growlithe, goose
Ivan Becker, Kabuto, otter
Belle Ziemann, Weepinbell, wallaby
Willian Rutherford II, Electabuzz, cockroach
Bernie Bashirian, Geodude, platypus
Davida Jast, Cloyster, ox
Tessa Treutel, Electabuzz, ox
Rufus Williamson DVM, Nidoran, mammoth
Caridad Roob, Drowzee, bee
Tamesha Maggio, Diglett, minnow
Miss Brady Stracke, Gastly, ant
Aubrey Denesik Sr., Paras, jackal
Pam Thiel, Pinsir, moose
Mrs. Karlene Goyette, Butterfree, horse
Kayleen Senger, Voltorb, wombat
Ms. Farrah Nikolaus, Spearow, camel
Santina Blick, Flareon, hamster
Marsha Toy, Nidoran, grasshopper
Aubrey Moore Sr., Pidgeotto, platypus
Houston Lubowitz, Squirtle, cockroach
Kieth Stark, Magmar, fox
Rowena Jakubowski, Golbat, cattle
Kelly Kilback, Arcanine, antelope
Mrs. Antony Stehr, Jynx, manatee
Latoya Stehr, Metapod, water buffalo
Leta Thiel, Vileplume, giraffe
