Toby Volkman, Porygon, raccoon
Gaye Harris, Fearow, macaw
Boyd Fahey, Porygon, snake
Wesley Abbott, Charmeleon, tiger
Walter Haag, Krabby, kangaroo
Mr. Annita King, Psyduck, panda
Blondell Feil IV, Slowpoke, rhinoceros
Dr. Anya Schimmel, Seaking, guinea pig
Miss Chia Lang, Golem, water buffalo
Danyel McGlynn, Growlithe, buffalo
Orval Cartwright, Jynx, hippopotamus
Allen Stanton, Zapdos, otter
Pierre Borer, Graveler, llama
Leland Barrows, Ninetales, goose
Minh Raynor, Seel, snake
Janine Bechtelar, Zapdos, serval
Harvey Lakin, Kabutops, crab
Lanny Kulas, Butterfree, mosquito
Miss Joline Terry, Bellsprout, impala
Eleonore Hand, Omanyte, monkey
Freddie Dicki, Dodrio, clam
Drucilla Heidenreich IV, Flareon, alpaca
Virginia Medhurst, Golbat, jackal
Jacinto Williamson, Kangaskhan, serval
Greg Wisoky II, Porygon, deer
Caitlyn Treutel, Magmar, cod
Carey Boyle IV, Mr. Mime, armadillo
Dierdre Roob, Chansey, cicada
Fidelia Bauch, Mew, scorpion
Suellen Wintheiser MD, Victreebel, cod
Mr. Steve Gibson, Clefable, hound
Mrs. Rosena Anderson, Charizard, leopard
Claud Fadel, Chansey, raven
Benton Grant, Machoke, worm
Somer Lemke PhD, Squirtle, giraffe
Nathan Oberbrunner, Nidoran, ape
Clyde Raynor, Vaporeon, cat
Antionette Gaylord, Cubone, tiger
Gary Ziemann, Tentacruel, eagle
Jordan Tillman, Squirtle, woodchuck
Harry Leffler, Scyther, beaver
Ed Cole, Jigglypuff, armadillo
Ms. Tanisha Morissette, Psyduck, walrus
Rigoberto Kerluke, Chansey, gnu
Michale Thiel, Drowzee, muskrat
Mrs. Earnest Stanton, Koffing, fish
Mrs. Pearlene Boyle, Koffing, yak
Robt Zboncak, Fearow, prairie dog
Ms. Elroy Krajcik, Psyduck, eagle
Kenton Mante, Graveler, shark
