Ms. Edison Miller, Nidoran, elephant
Alanna Kuhlman, Squirtle, wolf
Miss Pamila Rowe, Voltorb, rabbit
Silvia Flatley III, Voltorb, bear
Lionel Barton, Staryu, toad
Letty Altenwerth, Spearow, hound
Jarvis Fritsch DDS, Nidoran, mole
Granville Herzog, Cloyster, camel
Stanton Bergstrom DVM, Butterfree, louse
Joseph Douglas, Vaporeon, cod
Jacob Lebsack, Horsea, grasshopper
Patrice Lakin, Clefairy, giraffe
Mr. Doyle Johnson, Exeggutor, ox
Arden Schaefer, Lapras, cicada
Adela Flatley, Arbok, turtle 
Milo Wisozk, Flareon, clam
Charley Feil MD, Tentacool, gnu
Denise Christiansen DVM, Poliwrath, minnow
Darleen Williamson, Golduck, marten
Michiko Schroeder, Dugtrio, wildebeest
Alyse Schaden, Clefable, salmon
Cordie Rath, Kakuna, scorpion
Louann Ferry Jr., Seel, mule
Jeannetta Senger, Moltres, clam
Catherina Bauch, Vaporeon, otter
Dian Keebler, Arcanine, wallaby
Jetta Rutherford, Ekans, guinea pig
Christin Hane Sr., Clefable, eagle
Mrs. Dusty Altenwerth, Magnemite, wallaby
Ms. Sharri Corwin, Voltorb, fox
Sean White, Alakazam, serval
Joelle Waelchi MD, Flareon, butterfly
Randy Turcotte DVM, Marowak, shark
Mariann Gerhold I, Cubone, porpoise
Ralph Nicolas III, Omanyte, dolphin
Moses Bashirian, Omanyte, wolf
Harold Schiller V, Moltres, eel
Damien Dickinson Sr., Tangela, crow
Drucilla Nolan, Bulbasaur, minnow
Ms. Dena Hauck, Flareon, spider
Raleigh Friesen, Venusaur, toad
Stevie Halvorson, Horsea, bee
Eddy Rath, Haunter, wallaby
Allan Dickinson, Voltorb, ape
Mr. Isabelle Davis, Bulbasaur, caribou
Clora Pagac, Magneton, minnow
Tamekia Hartmann, Poliwhirl, bat
Lon Kemmer, Ekans, mule
Miss Earnest Volkman, Sandslash, moose
Ms. Alejandrina Hirthe, Poliwag, armadillo
