Berenice Tromp, Rattata, yak
Janyce Nikolaus Sr., Golduck, herring
Armand Cremin, Nidorino, lizard
Adrian Monahan Jr., Machoke, elk
Nathanael Howe, Kadabra, raccoon
Mr. Adriene Bergnaum, Rattata, skunk
Miss Clayton Lakin, Poliwag, macaw
Stefan Shanahan PhD, Goldeen, goat
Chanelle Williamson, Poliwrath, shark
Dalton Blick, Muk, gnat
Isaac Wintheiser, Eevee, dog
Dr. Odell Hettinger, Staryu, alpaca
Omega Gibson MD, Lapras, badger
Lionel Waters, Poliwrath, wasp
Celine Howell, Wigglytuff, frog
Theron Denesik, Kakuna, hamster
Daniele Labadie, Moltres, hare
Judi Runolfsdottir, Blastoise, alpaca
Vesta Wisozk, Mew, koala
Miss Idell Bogisich, Tauros, hound
Mrs. Earlie West, Mankey, cricket
Ezekiel Wolff, Dewgong, duck
Ok Pollich DVM, Snorlax, salmon
Carlo Beahan, Arbok, ape
Miss Annetta Nolan, Bulbasaur, tortoise
Mrs. Josephina Baumbach, Nidoran, rat
Alfreda Reinger DDS, Slowpoke, antelope
Jacki Heidenreich, Spearow, porcupine
Kirk Purdy, Tauros, lizard
Lyndsey Douglas, Pidgeot, fly
Alonzo Rutherford, Starmie, marten
Tamara Johns, Diglett, armadillo
Miss Eddy Conroy, Blastoise, muskrat
Hattie Barton, Ekans, clam
Antony Rutherford, Dodrio, dolphin
Carrol Johnson, Seel, dolphin
Nereida Langworth DVM, Magneton, whale
Vincent Homenick PhD, Dewgong, caribou
Louann Stiedemann DVM, Nidoran, trout
Scottie Okuneva, Kabuto, mink
Judy Boehm V, Kabuto, coyote
Lynsey Jones IV, Kabuto, elephant
Vicky Beahan, Persian, alligator
Lane Hintz, Abra, mallard
Charlotte Ratke, Pikachu, swan
Hipolito Aufderhar, Charmeleon, cicada
Dr. Golda Mertz, Kingler, scorpion
Andres Hackett, Eevee, panda
Ariel Hettinger, Graveler, minnow
Kerry Heller, Pidgeotto, sea lion
