Charleen Gleason, Farfetch'd, wombat
Ms. Mica Lubowitz, Diglett, reindeer
Rosa Gulgowski DDS, Caterpie, squirrel
Lupita Jakubowski, Nidoking, prairie dog
Dr. Corrina Bayer, Ditto, jellyfish
Candice Stroman, Geodude, yak
Karl Goldner, Weezing, toad
Devora Fritsch I, Eevee, salmon
Miss Trent Schimmel, Hypno, pig
Faustino Bergstrom, Wartortle, gerbil
Shantell Ward, Geodude, kangaroo
Ericka Kihn, Kingler, armadillo
Marcus McGlynn, Rapidash, ferret
Maris Gorczany, Nidorina, goose
Fernande Orn, Charmander, whale
Brian Ebert, Raichu, lizard
Jeanne Connelly, Cubone, butterfly
Saran Kozey, Tangela, zebra
Jack Leuschke, Voltorb, bear
Taina Veum III, Nidoking, muskrat
Davida Schneider, Sandshrew, jackal
Kurt Greenfelder PhD, Rapidash, alligator
Carmen Johns DDS, Diglett, marten
Debora Rutherford, Flareon, macaw
Eugenio Hills IV, Omanyte, minnow
Winford Jaskolski, Mewtwo, worm
Vicenta Batz II, Dugtrio, crab
Sheree Langosh DVM, Graveler, crow
Marita Pfannerstill, Muk, hornet
Madison Wintheiser, Graveler, whale
Adolfo Steuber, Charizard, gnat
Dawna Willms, Venusaur, baboon
Dr. Crissy Rowe, Bulbasaur, duck
Mrs. Johnie Zulauf, Seaking, zebra
Lewis Bernhard, Kabuto, sheep
Gayle Terry, Victreebel, deer
Lee Beatty MD, Parasect, walrus
Jackie Rohan, Pidgeot, dolphin
Bonita Hintz, Graveler, buffalo
Barney Dicki, Graveler, raven
Basil Hammes, Charmander, beetle
Bradford Beatty, Kakuna, wallaby
Ivey Nader, Arcanine, mosquito
Wenona Herman, Geodude, hound
Dr. Hassan Ferry, Seadra, snake
Detra Russel, Mew, moose
Arnette McCullough Sr., Drowzee, eagle
Werner Maggio, Diglett, panda
Orville Buckridge, Articuno, duck
Tyron Yost, Gyarados, armadillo
