Mrs. Brittanie Little, Geodude, gorilla
Chung Johnston, Vileplume, ox
Anamaria Gerlach, Sandshrew, serval
Nancy West Jr., Golduck, rat
Alonso Kuhn, Slowbro, leopard
Karena Harris, Snorlax, gnat
Jayme Kertzmann, Weedle, sheep
Arline Effertz Sr., Nidoqueen, gorilla
Huey O'Kon, Gengar, wolf
Mr. Lenny Turcotte, Muk, caribou
Myrtice Veum, Farfetch'd, woodchuck
Ms. Venessa Parisian, Venonat, dog
Loretta Torp IV, Electrode, manatee
Owen Nienow, Electabuzz, yellowjacket
Mr. Librada Keeling, Wartortle, deer
Ena Rolfson, Machamp, locust
Mr. Tony Waters, Charmander, hamster
Mickie Heidenreich, Krabby, jackal
Al Flatley, Rattata, gerbil
Luanna Auer, Alakazam, jellyfish
Thomas Hansen, Slowbro, macaw
Jose Ferry, Rattata, jellyfish
Leila Veum, Dragonair, buffalo
Moises Smitham, Alakazam, beaver
Melania Mills, Kingler, frog
Ms. Marion Muller, Omastar, chinchilla
Denis Koepp, Gyarados, termite
Annmarie Dicki, Squirtle, reindeer
Jimmy Davis, Pinsir, elk
Mana Weber, Krabby, skunk
Randolph Zemlak, Kabutops, kangaroo
Krystal Hauck, Parasect, fly
Meri Lynch III, Kangaskhan, walrus
Glen Goldner, Cloyster, giraffe
Loyd Hane II, Tentacool, caribou
Micheal Morissette, Exeggcute, sardine
Dorcas Towne, Mew, hedgehog
Clarita Hackett, Kadabra, platypus
Mrs. Patricia Sipes, Gyarados, chimpanzee
Don Walker, Muk, wombat
Miss Chelsie Krajcik, Clefable, salmon
Melodee Weissnat, Pidgey, cockroach
Alana Wolf, Tauros, sheep
Miss Shawnna Spinka, Koffing, clam
Carrol McLaughlin, Machoke, rat
Cecil Thompson, Rapidash, mosquito
Danita Stroman, Mr. Mime, grasshopper
Devin Abernathy, Cloyster, mammoth
Darron Schroeder, Squirtle, prairie dog
Mrs. Glennie Kuhlman, Doduo, salmon
