Kitty Reilly, Articuno, horse
Mitchell Kulas PhD, Jigglypuff, buffalo
Mr. Raul Bergstrom, Ponyta, hare
Vanetta Lemke I, Machamp, minnow
Edward Bergnaum DDS, Venusaur, gerbil
Joesph Roberts, Kadabra, turtle 
Zenaida Kuhn Sr., Sandslash, elephant
Abby Douglas, Butterfree, shark
Miss Raul Conn, Vaporeon, gnat
Gary Pfeffer, Diglett, rabbit
Daniel Leffler, Tentacool, goldfish
Sanora Emard, Articuno, hippopotamus
Miss Harley Zemlak, Seel, panda
Ena Lynch, Alakazam, scorpion
Bernard Nolan V, Muk, mammoth
Marielle Feil III, Golem, alpaca
Timothy Trantow, Bulbasaur, koala
Mrs. Caryl Champlin, Jynx, armadillo
Kermit Witting, Wartortle, beetle
Leisa Weber, Vaporeon, sardine
Royce Fritsch, Oddish, bat
Carter Williamson, Grimer, bee
Sharan Schinner, Magneton, caribou
Kirby O'Reilly, Raichu, goldfish
Stephan Mante, Psyduck, raven
Aileen Volkman, Venonat, crow
Wilber Hills I, Haunter, louse
Enoch Jacobi III, Meowth, gerbil
Vince Ratke MD, Grimer, panda
Ricardo Green IV, Vulpix, lion
Mr. Ernesto Ward, Clefable, bear
Mr. Wes Howell, Magnemite, bear
Kimberlie Dickinson, Seel, grasshopper
Golden Stark, Clefable, locust
Gertrude Beahan, Electrode, crocodile
Dr. Hilario Swaniawski, Jigglypuff, yak
Miss Trent Ferry, Dragonite, mole
Wayne Stamm PhD, Haunter, herring
Eusebio Turner, Nidoking, toad
Bonita D'Amore, Slowbro, otter
Tamekia Corwin, Victreebel, cattle
Santo Grant, Goldeen, walrus
Porfirio Williamson, Starmie, guinea pig
Ms. Jena Jenkins, Butterfree, prairie dog
Quincy Stiedemann I, Porygon, mole
Vince Bartoletti, Ninetales, pug
Mr. Vickey White, Rhydon, bee
Thelma Zieme, Kabutops, monkey
Iva Mosciski Jr., Kakuna, rhinoceros
Danilo Kozey, Tangela, sheep
