Deetta Cummerata, Graveler, cheetah
Booker Emard Jr., Meowth, skunk
Josh Reilly, Electabuzz, ape
Quinn Feil DDS, Clefairy, goldfish
Jame Fritsch, Pidgey, pug
Gale Beatty, Kabutops, spider
Royce Ledner, Nidoking, deer
Sunny Feest, Oddish, camel
Joana Kuvalis, Goldeen, dog
Bess McDermott, Onix, mole
Jesse Harber, Dragonite, wasp
Michel Bayer, Pikachu, raccoon
Renato Corwin, Electabuzz, ox
Thaddeus Kuhic, Pinsir, squirrel
Mrs. Corey Schmitt, Graveler, yak
Felice Thiel III, Wigglytuff, wildebeest
Ms. Dwain Haag, Mankey, cod
Ludie Reynolds, Scyther, alpaca
Twanda Simonis Sr., Mewtwo, mallard
Roy Carroll, Clefairy, elk
Marcus Hintz DDS, Charmeleon, baboon
Ivory Shields, Nidorina, scorpion
Hipolito Pouros, Nidoking, hippopotamus
Kaley Rosenbaum, Primeape, gerbil
Tad Simonis, Charmeleon, swan
Anamaria Cummings, Krabby, crab
Andreas O'Connell, Dewgong, yellowjacket
Orpha West, Nidoran, dinosaur
Loree Wehner, Magnemite, giraffe
Ms. Nathaniel Gutkowski, Exeggutor, cicada
Johnnie Kutch, Bulbasaur, grasshopper
Dustin Gulgowski III, Pidgeotto, pug
Joaquina Barton, Weepinbell, lion
Sylvie Cole, Gyarados, worm
Markita Quitzon, Articuno, ferret
Mr. Bertram Will, Raticate, sea lion
Eusebio Lueilwitz, Goldeen, koala
Dr. Jesse Schamberger, Kadabra, giraffe
Mr. Gilbert Romaguera, Drowzee, butterfly
Trena McKenzie II, Tentacool, toad
Oscar Streich, Alakazam, trout
Mr. Rodolfo Smith, Meowth, giraffe
Judy Ebert, Porygon, raven
Miss Ozzie Johnson, Articuno, armadillo
Gregg Mraz, Farfetch'd, elephant
Joey Steuber, Farfetch'd, termite
Tashia Schoen, Dewgong, leopard
Miss Everett Gulgowski, Staryu, cheetah
Alexis Morissette, Exeggutor, deer
Antony Walsh II, Nidoran, wildebeest
