Albert Schuppe, Mewtwo, koala
Tobias Crona, Charmeleon, ox
Doloris Hintz, Raichu, oyster
Hayden Von, Cubone, macaw
Earlean Roberts, Farfetch'd, caribou
Mariko Will, Eevee, fish
Lynwood Blanda Sr., Magnemite, baboon
Dr. Randa Anderson, Persian, pug
Mrs. Fredricka Mueller, Dratini, dog
Beryl Rippin, Aerodactyl, cat
Gayle Bergnaum, Farfetch'd, wombat
Brain Lockman, Rhyhorn, jackal
Don Johnson, Pidgey, wombat
Darlena Oberbrunner, Beedrill, bat
Shakita Oberbrunner, Arbok, crow
Corey Bins MD, Seadra, whale
Christal Treutel, Weezing, trout
Omer Howe, Aerodactyl, mule
Brant Kuvalis DDS, Seaking, oyster
Nieves Schmidt, Slowbro, goldfish
Lakiesha Metz, Dugtrio, gerbil
Kisha Watsica MD, Dragonite, gorilla
Vanesa Labadie, Geodude, gerbil
Angel Douglas, Nidoran, grasshopper
Wayne King I, Ponyta, skunk
Edgar McGlynn DDS, Arbok, bat
Katharina Quitzon, Lickitung, fox
Bo Nikolaus, Raticate, ox
Floy Renner, Zubat, camel
Joshua Hansen, Doduo, mink
Mrs. Ha Lockman, Weedle, raven
Gilbert Rath, Koffing, monkey
Agnus Bergstrom V, Moltres, locust
Clint Abernathy Sr., Weezing, camel
Mr. Vinnie Lynch, Oddish, dinosaur
Lonny Larkin II, Vulpix, grasshopper
Dannie Sawayn, Mankey, skunk
Hue Roob, Exeggcute, oyster
Jake Koss, Caterpie, duck
Winston Sauer, Drowzee, beetle
Miles Carroll, Kabuto, trout
Pinkie Balistreri III, Poliwhirl, cattle
Meaghan Kunze PhD, Snorlax, goat
Dr. Honey Ward, Growlithe, chinchilla
Dr. Jonathon Hirthe, Lickitung, eagle
Michelle Huels, Mr. Mime, hyena
Ted Bode, Magnemite, rat
Mauricio Green, Jynx, hedgehog
Lauren Renner, Oddish, goldfish
Katherina Hermann, Horsea, otter
