Eufemia Mitchell, Geodude, fly
Horace Abbott, Charmeleon, grasshopper
Carson Weimann, Growlithe, alpaca
Rick Wiegand, Dodrio, scorpion
Garry Miller, Graveler, minnow
Clarissa O'Reilly V, Metapod, wombat
Lesa Kuphal, Machop, crab
Sheilah Walker, Rapidash, mallard
Jospeh Stokes, Psyduck, goose
Octavio Luettgen, Ponyta, kangaroo
Tyrone Kub, Charmeleon, whale
Roman Haag, Rapidash, mouse
Omer Marks, Eevee, yak
Noemi Schmeler, Mewtwo, goat
Pedro Nader, Pidgey, elephant
Jan Roob, Zubat, toad
Kendrick Cruickshank, Kakuna, sheep
Nichole Jacobs, Ditto, rhinoceros
Gilbert Walker, Venusaur, oyster
Anibal Herzog Jr., Rhydon, chinchilla
Sidney Simonis, Venusaur, hedgehog
Jordan Mohr, Starmie, beetle
Heriberto Wyman, Psyduck, beaver
Jon Lehner, Mew, woodchuck
Mrs. Jonathan Ledner, Caterpie, whale
Mr. Howard Beier, Ivysaur, guinea pig
Isabelle Rice DVM, Ivysaur, water buffalo
Miss Miles Stanton, Kabutops, squirrel
Elenora Rippin Sr., Poliwhirl, wolf
Bertram Monahan, Articuno, llama
Winnie Oberbrunner, Dugtrio, trout
Mr. Bernadine Moen, Sandshrew, swan
Carisa Fay, Jolteon, hippopotamus
Fernando Wintheiser PhD, Kabutops, baboon
Trinidad Ward I, Victreebel, zebra
Vernia Durgan, Kabuto, wolf
Jess VonRueden, Tentacool, gnu
Mr. Ginger Kozey, Vulpix, bear
Augustine Bradtke, Blastoise, buffalo
Dr. Max Cole, Zapdos, snake
Ian Beier, Jigglypuff, frog
Cyrus Ebert PhD, Scyther, duck
Hayden Bernier, Rhyhorn, clam
Joaquina Rodriguez, Venusaur, camel
Dr. Maile Paucek, Onix, oyster
Giovanna Pacocha, Graveler, woodchuck
Kerry Wolf, Caterpie, hedgehog
Lino Trantow, Jolteon, swan
Conrad Terry, Paras, yellowjacket
Earlene Krajcik, Dewgong, fox
