Petrina Donnelly, Raticate, skunk
Gisele Leuschke PhD, Spearow, mammoth
Connie Gutkowski, Vulpix, cod
Weldon Bailey, Kabuto, raccoon
Tommy Prohaska, Persian, wallaby
Dr. Audrey Parisian, Dewgong, oyster
Kirstie Kulas, Geodude, skunk
Ms. Genie Effertz, Porygon, fox
Dr. Deedee Jacobson, Wartortle, wallaby
Edwin Corwin, Clefable, antelope
Clifton Bernier, Tauros, fish
Loree Parisian, Tentacruel, mallard
Shawn Schamberger, Magneton, raven
Isidro Emmerich, Moltres, guinea pig
Elizbeth Herzog DVM, Spearow, weasel
Jenna Kunze, Charmander, gnat
Lucilla Kreiger, Raichu, gnu
Dusty Schoen, Zubat, snail
Alonzo Stark, Ditto, toad
Harris Kuvalis, Pidgeotto, water buffalo
Travis Gerlach, Nidoqueen, mouse
Mickey Romaguera, Metapod, skunk
Bonnie Abernathy MD, Gastly, moose
Miss Bradly Weber, Scyther, toad
Miss Ming Brekke, Paras, moose
Serina Wolf, Tentacool, otter
Andres McLaughlin, Dragonite, woodchuck
Mrs. Yadira Wintheiser, Magneton, tiger
Petra Olson, Sandshrew, bear
Rogelio Kuhlman, Pinsir, ant
Charlott Krajcik, Parasect, louse
Steve Brown, Omanyte, kangaroo
Mr. Sigrid Tremblay, Starmie, rhinoceros
Woodrow Wolf, Lickitung, ant
Kerry Wintheiser, Weezing, eagle
Marylyn Bechtelar, Spearow, bee
Jonathan Sauer, Rattata, porcupine
Wilson Crooks, Dragonite, mole
Heather Metz, Hitmonlee, caribou
Mr. Barbera Zieme, Cubone, macaw
Tanika Purdy, Rhydon, gnu
Mr. Myrtice Breitenberg, Raichu, trout
Mr. Pamella Hansen, Nidoking, fly
Norberto Watsica, Jigglypuff, porpoise
Georgette Mayer, Mew, bat
Rey Smitham, Flareon, lion
Shirly Miller, Tentacool, hedgehog
Mr. Denna Jenkins, Lapras, sardine
Corey Hand, Seel, grasshopper
Cristopher Doyle Jr., Arbok, crab
