Carroll Crooks, Rhydon, leopard
Bud Spinka, Kingler, wombat
Gordon Osinski, Golbat, zebra
Brittani Konopelski, Onix, jellyfish
Samuel Erdman, Clefable, salmon
Cleo Jacobs, Kadabra, cat
Alfonzo Hauck Jr., Grimer, leopard
Josef Weissnat, Fearow, goat
Chadwick Jast Jr., Electabuzz, llama
Adrienne Romaguera, Tauros, rabbit
Lachelle Toy DDS, Ninetales, toad
Joesph Ankunding, Arbok, caribou
Mr. Bruce Reichel, Clefable, hedgehog
Elden Franecki, Gyarados, frog
Miss Minna Wisozk, Seel, cricket
Ms. Alta Ziemann, Dugtrio, bear
Daron Hilll, Primeape, frog
Dana Kuvalis, Lickitung, whale
Jimmy Denesik, Paras, wildebeest
Rick O'Hara, Seadra, antelope
Mariella Jast, Goldeen, donkey
Porsha Cronin DVM, Snorlax, cod
Caprice Spencer, Starmie, monkey
Shakira Klein, Oddish, gnat
Stevie Hartmann, Magmar, grasshopper
Lisha Von V, Squirtle, eagle
Else Kub DDS, Onix, kangaroo
Hertha Harris, Weedle, hyena
Miss Dottie Daugherty, Pinsir, buffalo
Tiera D'Amore, Dewgong, ape
Tressa Stanton, Persian, snake
Jerald Rice, Poliwrath, wolf
Tyler Von, Primeape, horse
Ms. Giovanni Abernathy, Rattata, scorpion
Caroll Jakubowski, Butterfree, eel
Jerrod Ortiz Sr., Seadra, water buffalo
Zack Klocko, Doduo, whale
Christopher Kirlin, Venusaur, giraffe
Brittney Macejkovic, Weedle, swan
Karl Langosh, Starmie, horse
Deon Grant MD, Paras, swan
Rolande Orn, Blastoise, shark
Mrs. Odis Kuphal, Sandshrew, caribou
Jason Shields, Golem, mink
Marilou Hartmann, Cubone, cattle
Elmer Wintheiser, Vaporeon, hound
Lindsey Parker, Beedrill, platypus
Lonnie Bogan, Charmeleon, monkey
Debbra Deckow Jr., Wigglytuff, crab
Gwyneth Baumbach, Arbok, buffalo
