Galen Balistreri, Hypno, alligator
Freddy Leannon DVM, Graveler, elephant
Art Monahan, Magneton, elk
Silas Feest, Voltorb, horse
Joseph Russel, Graveler, beaver
Ty Klocko II, Golem, termite
Stephine Jacobs PhD, Tauros, cockroach
Juliette Nicolas, Machop, butterfly
Staci Corwin III, Kadabra, hamster
Deon Orn, Kabutops, dog
Delisa Wiza, Gloom, whale
Dr. Miss Mosciski, Gengar, hyena
Charleen Langworth IV, Abra, fly
Veola Ward, Nidoqueen, wombat
Cherryl Barton, Mew, jellyfish
Debra Hayes, Raichu, raccoon
Mr. Nga Shanahan, Magneton, ant
Chris Macejkovic DDS, Doduo, rat
Caleb Haley, Psyduck, buffalo
Buford Trantow, Eevee, jellyfish
Wendell Windler, Beedrill, walrus
Abdul Carter II, Primeape, zebra
Lovella Lueilwitz, Persian, chinchilla
Mr. Jackson Gerlach, Charizard, prairie dog
Harriet Considine, Shellder, tiger
Herman O'Conner, Marowak, zebra
Demetrice Morissette, Ponyta, lizard
Madaline Mayer, Machamp, pug
Martine Collier, Tangela, sardine
Mr. Min Emard, Persian, jellyfish
Bula Kreiger, Rhydon, hedgehog
Mrs. Cheri Kutch, Krabby, mule
Cuc Pfeffer, Gloom, shark
Karon Willms, Exeggutor, impala
Marcelo Jenkins, Metapod, goat
Clorinda Gaylord MD, Ekans, giraffe
Andree Von, Squirtle, panda
Jimmie Haley, Electrode, tiger
Rayford Cremin, Vulpix, tiger
Ricardo Cruickshank I, Jolteon, tortoise
Marisela Stamm, Kadabra, ferret
Maureen Carroll, Electrode, manatee
Meagan Osinski III, Clefable, sardine
Lino Boyle IV, Electabuzz, buffalo
Adrianna Rogahn, Golem, elephant
Dr. Jessie Abernathy, Kakuna, manatee
Grady Rodriguez, Dodrio, hare
Brendan Gerlach, Venonat, scorpion
Nancey Leannon, Chansey, cheetah
Edwardo Kassulke, Sandshrew, tiger
