Ivory Romaguera, Jolteon, mole
Thomasina Reilly, Ninetales, mosquito
Renato Dickinson, Dugtrio, gnat
Eboni Raynor PhD, Porygon, rat
Eugenio Braun Sr., Gastly, prairie dog
Ms. Alex Harber, Ninetales, minnow
Madalyn Waelchi, Sandslash, goldfish
Dr. Jolene Durgan, Machamp, mole
Diann Kutch, Farfetch'd, goat
Edmond VonRueden, Tauros, weasel
Jason Bernier DVM, Bellsprout, tiger
Miss Eleonora Cassin, Hypno, cockroach
Phuong Koch, Gengar, dolphin
Eva Ryan, Exeggcute, marten
Chong Marvin MD, Scyther, zebra
Mrs. Rana Wiegand, Magnemite, lizard
Naida McLaughlin, Abra, reindeer
Monte Crooks MD, Dugtrio, ape
Miles Harber, Hypno, snail
Candra VonRueden, Nidoking, elk
Hye Mohr, Starmie, duck
Sara Witting, Persian, alpaca
Blair Leffler, Slowpoke, koala
Raymond Glover II, Moltres, jellyfish
Conrad Schoen MD, Psyduck, oyster
Ms. Shana Ullrich, Muk, ant
Sheri Herzog, Articuno, dolphin
Ms. Brain Heathcote, Raticate, dog
Rae Stehr, Zubat, trout
Miss Lenard Stamm, Venonat, rhinoceros
Dr. Patrina Feeney, Nidoking, seal
Mrs. Starr Monahan, Nidoking, raccoon
Titus Fritsch, Lapras, seal
Marty Lowe, Bulbasaur, pig
Jason Maggio, Omastar, eel
Mercedez Leannon, Magneton, llama
Nathanial Sipes DVM, Rhydon, woodchuck
Latesha Prohaska, Parasect, cicada
Owen Gislason, Seadra, fly
Mrs. Riley Daugherty, Venonat, ant
Mrs. Lauren Sporer, Golem, fly
Mrs. Loretta Kutch, Fearow, prairie dog
Louetta Abbott, Growlithe, hound
Quincy Towne, Onix, mosquito
Randee Volkman, Aerodactyl, mink
Don Larson, Golbat, elk
Elise Schultz, Tentacruel, fish
Samual Kassulke, Ekans, whale
Laurena Daniel PhD, Seaking, butterfly
Noriko Dietrich, Magikarp, sardine
