Shon Corkery, Jynx, sea lion
Shirley Johnston, Caterpie, dinosaur
Mr. Jayson Block, Tauros, dolphin
Cathie Harber, Vileplume, crab
Sharen Mante, Krabby, raven
Vanesa Cole, Electrode, ant
Leeann Davis IV, Zubat, spider
Isela Upton, Doduo, trout
Corie McDermott MD, Porygon, eagle
Zula Feil, Abra, goldfish
Elroy Kunde, Shellder, macaw
Maggie Hahn DDS, Poliwhirl, wildebeest
Chance Wisozk, Dratini, koala
Mrs. Harold Friesen, Arcanine, salmon
Mara Gibson I, Fearow, mole
Jay Kemmer, Dratini, scorpion
Simon Medhurst, Sandshrew, ape
Hipolito Schowalter, Krabby, crow
Johnnie Ryan III, Metapod, leopard
Mrs. Chasity Gaylord, Slowbro, gnu
Dr. Simon Koch, Onix, baboon
Marcos Zulauf, Onix, caribou
Leigh Crona, Ponyta, wombat
Miss Edwardo Metz, Venusaur, marten
Magnolia Crooks, Hypno, mink
Chantell Thiel, Exeggutor, panda
Miss Lemuel Parker, Moltres, cheetah
Avril Carroll, Mew, yak
Berna McDermott DDS, Charmander, tiger
Sammy Schumm, Doduo, coyote
Evie Macejkovic, Clefable, goldfish
Valentine Lakin II, Pidgey, crab
Tamika Zieme V, Horsea, gnu
Bradford Hagenes, Golem, yak
Lavelle Block, Moltres, eagle
Cheryle Volkman V, Horsea, spider
Kate Dach, Pidgeotto, porpoise
Shawanda Shields, Starmie, cockroach
Vito Corkery, Venomoth, oyster
Charline Batz, Pidgey, scorpion
Brian Hilpert Sr., Clefairy, mammoth
Dr. Giuseppe Cronin, Tangela, dinosaur
Mable Shanahan, Tauros, wolf
Trent Braun, Vileplume, wallaby
Ms. Ty Hessel, Kabuto, shark
Mr. Paola Kuphal, Clefable, cricket
Glenn Champlin, Spearow, coyote
Ken Hills, Pidgey, bat
Judi Bayer, Tentacool, tiger
Shawn Gottlieb I, Charmander, goose
