Dr. Sanjuana Abernathy, Moltres, water buffalo
Lloyd Boehm Jr., Nidoran, hornet
Orlando McGlynn, Zubat, sea lion
Dr. Elmo Senger, Paras, lion
Bryant Ward DDS, Machamp, swan
Dr. Stacy Grady, Omastar, donkey
Blossom Yundt, Nidoqueen, eagle
Sheldon Welch, Poliwrath, eel
Akilah Mills, Seaking, gnu
Irvin Reichert, Alakazam, cheetah
Miss Annamarie Champlin, Tentacruel, locust
Giuseppina Schaden, Raticate, tiger
Leona Grimes, Lickitung, rat
Mrs. Bari Toy, Seadra, wolf
Coletta Harber IV, Seadra, mule
Grace Denesik, Aerodactyl, muskrat
Abraham Kilback, Poliwag, leopard
Ms. Malik Hilll, Rapidash, snake
Mr. Gemma Altenwerth, Kingler, hound
Brandon Christiansen, Sandshrew, wombat
Coletta Corwin, Pidgey, raven
Fletcher Hoppe PhD, Omastar, rat
Florance O'Keefe, Slowpoke, snail
Miss Arie Sanford, Eevee, otter
Mr. Fermina Lang, Diglett, baboon
Dr. Iris Corkery, Koffing, prairie dog
Kourtney Klein, Electrode, ox
Sherron Pfeffer, Ivysaur, buffalo
Greta Steuber, Tentacruel, squirrel
Ian Moore, Eevee, mule
Mckenzie Pouros, Graveler, jellyfish
Mrs. Everette Bergnaum, Mankey, bee
Mr. Alex Wisozk, Dugtrio, koala
Greg Bartell, Dragonite, caribou
Deon Grady, Hypno, herring
Debi Koss DDS, Golbat, lizard
Fred Carter, Aerodactyl, frog
Bradly Nitzsche, Geodude, donkey
Jacob O'Hara, Clefairy, beetle
Freddie Cassin, Pidgeot, whale
Delisa Littel, Venusaur, donkey
Courtney Fay, Marowak, raven
Brandi Nicolas, Weedle, swan
Lilla Labadie, Seadra, cattle
Ms. Al Hermann, Dewgong, giraffe
Thersa Marks, Kabuto, tortoise
Dawna Dibbert, Rattata, leopard
Hiram Gutmann, Machamp, crow
Roselle Ullrich, Venusaur, crow
Mrs. Trent Zemlak, Pinsir, skunk
