Eve Brakus III, Ninetales, giraffe
Williams Gaylord PhD, Kadabra, deer
Dr. Demetrius Hyatt, Nidorina, prairie dog
Gale Zboncak, Pikachu, muskrat
Cesar Okuneva, Vaporeon, ferret
Juan Kessler, Rapidash, rat
Delbert Armstrong, Magmar, hare
Sharilyn Skiles, Dodrio, butterfly
Denver DuBuque, Gloom, kangaroo
Eloy Ernser, Spearow, goldfish
Latanya Abshire, Tentacool, ferret
Lorri Kling Jr., Haunter, tortoise
Rodrick Leuschke IV, Clefable, walrus
Noel Wolf, Lickitung, cricket
Aline Leffler, Parasect, worm
Geraldo Wuckert, Poliwrath, horse
Mr. Elsie Grimes, Nidoran, spider
Billy Walter, Charmander, raccoon
Miss Shalon Kunde, Cubone, camel
Dannie Hamill, Dugtrio, woodchuck
Abraham Tremblay, Rhyhorn, macaw
Marquis Hettinger, Kadabra, jackal
Stewart Willms, Nidorino, frog
Sirena Konopelski, Charmander, koala
Leonard Durgan DDS, Ponyta, prairie dog
Dr. Jarred Stamm, Lickitung, beaver
Felipe Rosenbaum, Nidorina, salmon
Andy Kautzer, Seaking, crow
Mrs. Emory Hills, Zubat, hamster
Ina Morissette, Growlithe, zebra
Esteban Lebsack, Flareon, crocodile
Olen Langosh, Magnemite, squirrel
Dr. Jesse O'Reilly, Koffing, marten
Kory VonRueden, Dodrio, guinea pig
Dr. Eliza Kris, Magikarp, skunk
Petra Lakin, Primeape, antelope
Edmund Emard, Exeggutor, eel
Willetta Legros, Golem, shark
Joye Rempel DVM, Jigglypuff, snail
Brook Hand, Tangela, woodchuck
Lavone Kirlin, Tangela, spider
William Reichert, Pidgeotto, raccoon
Mr. Dovie Schowalter, Weepinbell, jellyfish
Gigi Murazik, Meowth, leopard
Wes Reichel I, Poliwag, sardine
Tyree Renner Sr., Hitmonchan, salmon
Jay Gerlach, Vaporeon, antelope
Heath Feil, Weedle, herring
Travis Olson Jr., Dodrio, shark
Rudolf O'Conner, Kabuto, pig
