Sherman Rempel IV, Charizard, sheep
Sam Emmerich, Golem, salmon
Aleen Reinger, Staryu, impala
Luanna McGlynn, Nidoran, mouse
Daniell Nicolas, Fearow, hornet
Merna Crona Jr., Staryu, yellowjacket
Ms. Glen Bahringer, Weedle, mosquito
Casey Hodkiewicz, Cubone, oyster
Arnold Kertzmann, Kadabra, llama
Ruben Lang, Weezing, wombat
Brandon Keeling II, Jolteon, mammoth
Oswaldo Moen, Arcanine, hornet
Denny Lebsack, Dragonair, dolphin
Miss Shirlene Spencer, Venomoth, gerbil
Kiyoko Predovic, Charmeleon, tiger
Christoper Nienow, Charmeleon, caribou
Logan Hammes, Clefable, chinchilla
Shelton Fisher, Mr. Mime, worm
Anthony Cruickshank IV, Geodude, dinosaur
Wilbert Mayer, Charmander, mink
Ollie Bayer, Voltorb, hare
Kristle Ondricka, Tauros, bear
Dr. Andria Paucek, Marowak, alpaca
Carlos Spencer, Dragonair, woodchuck
Thao Gottlieb, Seel, crab
Corazon Bergstrom PhD, Blastoise, badger
Lily Nikolaus, Dragonite, armadillo
Ms. Ralph Morissette, Weezing, snake
Berry Kshlerin IV, Slowpoke, hornet
Lenore Pagac, Wartortle, sea lion
Hosea Rowe, Snorlax, kangaroo
Sherley Upton, Vulpix, wallaby
Ms. Ok Sporer, Nidorino, coyote
Dr. Preston Kozey, Arcanine, rat
Truman Jones, Muk, reindeer
Miss Leisa Kuhlman, Ekans, dog
Kasey Lind I, Arcanine, wallaby
Ramon Corkery, Nidoran, muskrat
Joan Sanford, Seadra, mule
Celestine Veum, Seel, giraffe
Lenora Little, Moltres, louse
Lavelle Berge, Nidoran, hippopotamus
Layne Mueller, Charmander, goat
Shameka Witting, Ekans, whale
Mr. Joshua Hodkiewicz, Geodude, lion
Dr. Erica Predovic, Growlithe, mosquito
Johnnie Altenwerth, Kakuna, herring
Laurena Effertz MD, Ekans, sea lion
Mrs. Darwin Russel, Metapod, elk
Al Vandervort, Pidgeot, bee
