Faustino Conroy IV, Psyduck, frog
Thalia Schumm Sr., Drowzee, hedgehog
Ivan Bergstrom, Psyduck, moose
Agustin Goldner, Rhydon, gerbil
Shawanda McDermott, Marowak, minnow
Enoch Bruen, Clefable, ant
Isreal Shields, Lapras, deer
Keenan Shields Jr., Slowbro, cheetah
Lavinia Kovacek, Mew, caribou
Phillip Huel, Clefairy, platypus
Emmaline Herzog, Jynx, platypus
Mr. Ellamae Donnelly, Cubone, hedgehog
Elias Auer, Wartortle, tiger
Harley Kuhic, Kadabra, beaver
Quincy McCullough II, Jynx, louse
Adolfo Green, Zubat, toad
Joie Bahringer, Omastar, raven
Kori Berge III, Vileplume, salmon
Tobie Heidenreich I, Snorlax, rhinoceros
Carol Bednar, Paras, raven
Dr. Arvilla Prohaska, Rapidash, giraffe
Vonnie Graham V, Porygon, baboon
Cruz Auer, Dugtrio, weasel
Jonathan Howell, Golduck, jackal
Chang Bergnaum, Squirtle, wasp
Ben Kunde, Venomoth, alpaca
Catharine Bradtke, Bulbasaur, crocodile
Mr. Bo Ernser, Hypno, bear
Tinisha Ernser I, Haunter, rhinoceros
Alberto Bednar, Hitmonchan, cat
Debbie Sawayn, Exeggutor, goat
Darby Johns, Omastar, badger
Miss Genevieve Lang, Lapras, sea lion
Rosanna Graham, Exeggcute, walrus
Clay Flatley I, Wartortle, porpoise
Louie Toy, Krabby, elephant
Kaycee Schmidt, Machop, snake
Nelson Cremin, Vulpix, toad
Lucinda Runolfsdottir, Oddish, grasshopper
Denver Cassin Sr., Wartortle, coyote
Lorinda Grimes, Magnemite, muskrat
Lera Williamson, Marowak, badger
Wilfredo Johnston, Ivysaur, cockroach
Mr. Bennie Kihn, Geodude, elephant
Lucina Schulist, Voltorb, hippopotamus
Patrick Trantow, Caterpie, bee
Julio Reilly, Rapidash, mosquito
Leigh Ortiz, Snorlax, cat
Mrs. Columbus Greenholt, Muk, butterfly
Jewel Schinner, Alakazam, hound
