Johnathon Beatty, Horsea, elephant
Ms. Milo Schultz, Beedrill, squirrel
Erma Ullrich, Gloom, hyena
Stefani Romaguera PhD, Doduo, ant
Laverne Crona, Wartortle, snake
Bradly Bins PhD, Tangela, jellyfish
Noah Cassin, Dragonair, zebra
Jodie O'Reilly DVM, Machoke, oyster
Delinda Heidenreich, Tangela, snake
Miss Donald Jakubowski, Kabuto, giraffe
Wade Rohan, Electabuzz, impala
Miss Sal Larkin, Starmie, bee
Barrie Beatty, Clefable, walrus
Jordan Ledner, Koffing, beetle
Dannie Zboncak, Blastoise, bee
Walter Krajcik DDS, Magneton, tortoise
Dr. Kacey Aufderhar, Dodrio, trout
Refugio Schmeler, Magnemite, crab
Madison Stark, Geodude, gnu
Clifford Cartwright, Zapdos, serval
Mimi Mosciski, Vulpix, coyote
Hobert Friesen, Spearow, gnat
Kelsey Bayer, Jynx, porcupine
Walter Hoeger, Slowbro, turtle 
Fernando Wilkinson, Drowzee, koala
Mr. Lyndsay Runolfsdottir, Dodrio, prairie dog
Dorine Donnelly, Articuno, frog
Latoria Rippin, Voltorb, sea lion
Mrs. Frances Nikolaus, Starmie, hedgehog
Mrs. Gilma Williamson, Gengar, beetle
Isabella Hammes PhD, Rattata, goldfish
Larae Schulist, Metapod, tiger
Laurence Dooley, Rhyhorn, chinchilla
Andres Simonis, Tauros, beetle
Mrs. Jonie D'Amore, Farfetch'd, oyster
Bart Bartoletti, Wigglytuff, turtle 
Maynard Brekke, Venomoth, trout
Buddy Weber, Venonat, worm
Bernice Stokes, Butterfree, lizard
Ms. Rayford Kovacek, Onix, dinosaur
Tierra Koepp, Arcanine, shark
Shanice Emmerich, Hitmonchan, tiger
Maisie Abshire, Pikachu, armadillo
Reginald Ernser, Chansey, salmon
Fidela Hamill, Omanyte, chimpanzee
Clarence Becker, Staryu, panda
Concha Lowe, Horsea, swan
Ivory Emard, Seaking, chinchilla
Marcell Wisoky, Butterfree, goose
Whitney Hoeger, Oddish, camel
