Mrs. Leonard DuBuque, Magikarp, zebra
Kesha Baumbach, Fearow, louse
Mrs. Lianne Reichert, Nidorino, butterfly
Rutha Reilly, Pikachu, minnow
Mrs. Georgina Hettinger, Vaporeon, ant
Wilson Pfannerstill, Arbok, koala
Abbey Hagenes, Vaporeon, alligator
Norman Walter, Pidgey, reindeer
Kenisha Stark, Poliwag, porcupine
Zack McCullough V, Tentacool, prairie dog
Lashonda Tremblay, Kakuna, prairie dog
Soo Dare, Electrode, rat
Fredric Reinger MD, Golduck, oyster
Andria O'Kon, Starmie, gorilla
Courtney Kovacek, Hitmonlee, kangaroo
Toney Wehner, Grimer, snake
Elisabeth Hammes, Metapod, ox
Joey Medhurst, Paras, leopard
Frank Nader, Gastly, panda
Dr. Lauryn Marks, Squirtle, minnow
Sean Hansen, Magnemite, manatee
Maisie Lynch III, Charizard, salmon
Dr. Tanna Heidenreich, Oddish, reindeer
Julio Moen I, Moltres, tiger
Barrett Wolff, Dugtrio, bee
Allan Watsica DDS, Cubone, platypus
Anderson Spencer, Jigglypuff, beaver
Benjamin Turner Jr., Golem, koala
Mrs. Wally Welch, Machoke, leopard
Hilton Prosacco IV, Jigglypuff, monkey
Bobbie Schowalter, Lapras, giraffe
Reva Smitham, Dewgong, rhinoceros
Dr. Berniece Fay, Aerodactyl, bat
Stacy Lehner, Mew, porcupine
Herbert Ernser, Psyduck, crow
Dewey Medhurst, Staryu, woodchuck
Senaida Beatty, Butterfree, guinea pig
Alphonso Schaefer, Kabuto, clam
Mrs. Chi Dicki, Articuno, fox
Emil Collins, Weezing, yak
George Wiegand, Geodude, gerbil
Kasey Kiehn, Magneton, beaver
Latesha Kuhlman MD, Seel, monkey
Dona Jacobson, Spearow, salmon
Tom Spencer, Jigglypuff, buffalo
Sean Ritchie, Moltres, armadillo
Allen Weissnat, Lickitung, beaver
Mario Schumm, Rhyhorn, goose
Lee Brekke I, Moltres, frog
Dr. Terence Auer, Nidoking, impala
