Ivonne Grant, Victreebel, raven
Chelsie West DVM, Grimer, mosquito
Dr. Brendan Carroll, Golem, crow
Ms. Kristal Sipes, Cloyster, platypus
Desmond Olson, Metapod, antelope
Jenette Simonis, Hitmonlee, hippopotamus
Kent Mann, Staryu, shark
Muoi Funk, Raticate, snake
Mr. Edmond Streich, Lickitung, elk
Cheryl Schuster, Pikachu, zebra
Mohamed Davis, Mew, bear
Carol Schumm DDS, Pidgeotto, guinea pig
Dario Howe, Dragonite, skunk
Edison Hermiston I, Paras, camel
Mohammed Runolfsdottir II, Rhydon, dinosaur
Marica Kertzmann Jr., Golbat, gerbil
Christine Gerlach, Tangela, rhinoceros
Kris Stiedemann DVM, Onix, frog
Rosalba Bernhard, Mewtwo, manatee
Tessie McDermott, Hypno, beaver
Buena Walter, Beedrill, rhinoceros
Verona Schuppe, Charmeleon, porpoise
Madge Auer, Voltorb, gerbil
Tanika Hudson DVM, Moltres, seal
Lashay Lueilwitz Sr., Pidgeotto, wallaby
Verena Waters, Zapdos, hippopotamus
Troy Funk, Staryu, hippopotamus
Renaldo Deckow, Dewgong, jellyfish
Shannon Corwin, Cloyster, jackal
Ada Lynch Jr., Rattata, moose
Benita Gulgowski, Voltorb, swan
Ms. Geraldo Ernser, Hitmonchan, snail
Gwyneth O'Connell, Golduck, gnat
Mrs. Clark Denesik, Gloom, dolphin
Hong Schmeler, Venusaur, herring
Miguel Gibson, Bellsprout, gnu
Elicia Kuhn, Caterpie, impala
Shawanda Collier DVM, Machoke, platypus
Wilford Spencer, Mr. Mime, crocodile
Romeo Padberg, Venonat, ox
Becki Torp, Drowzee, shark
Myles Christiansen, Staryu, leopard
Ying Runolfsson, Marowak, walrus
Mr. Man Denesik, Krabby, dinosaur
Mr. Refugio Wuckert, Marowak, water buffalo
Rich Kihn III, Chansey, crocodile
Rene Cummings II, Omanyte, antelope
Deandrea Christiansen, Ekans, impala
Jennie Langworth, Pikachu, giraffe
Oliver Funk DDS, Marowak, wolf
