Harvey Nienow, Cubone, caribou
Noel Lesch, Venusaur, deer
Nestor Schumm, Goldeen, antelope
Jay Schowalter, Eevee, porcupine
Kenisha Ferry DDS, Charmander, hound
Felton Macejkovic IV, Golduck, caribou
Dr. Rachelle Gulgowski, Hitmonchan, cheetah
Niki Stoltenberg, Dragonite, panda
Cody Carter, Growlithe, pug
Abram Bergstrom, Machamp, ox
Nilda O'Kon DVM, Kingler, worm
Lillia Toy, Rhyhorn, clam
Devin Little, Machop, caribou
Ms. Johnie Graham, Koffing, sardine
Cody Kemmer, Kangaskhan, badger
Yuette Thiel, Electrode, lion
Ghislaine McDermott, Charmeleon, rhinoceros
Devon Bayer, Porygon, gerbil
Song Wilkinson DVM, Dratini, impala
Colin Kreiger, Kakuna, llama
Hal Ruecker, Vaporeon, oyster
Ms. Young Bayer, Omanyte, seal
Mrs. Mammie Will, Poliwag, serval
Mickey Thiel, Nidoran, raven
Kacy Durgan, Arcanine, pig
Eloisa Brown, Gastly, wildebeest
Shauna Pfeffer, Weezing, hound
Pearly Reynolds II, Seel, bear
Edith Batz IV, Wartortle, elk
Mrs. Darron Zemlak, Venonat, muskrat
Brian Bailey, Hitmonlee, cricket
Waylon Greenholt, Nidorino, lion
Mrs. Aretha Mohr, Cubone, sardine
Mr. Fausto Zboncak, Diglett, moose
Ms. Ulysses Wilkinson, Jigglypuff, oyster
Calista Sipes, Exeggcute, baboon
Tereasa Schneider, Omastar, crab
Tyesha Swift, Articuno, alpaca
Mr. Barrie Howell, Machamp, manatee
Leia Pouros, Pidgey, rhinoceros
Raphael Vandervort, Ponyta, muskrat
Dr. Arden O'Conner, Lapras, crocodile
Ricky Mills, Charizard, yak
Mertie Boyer, Vileplume, platypus
Jesse Walker, Gloom, panda
Mr. Cliff Greenholt, Shellder, shark
David Carter III, Caterpie, llama
Dr. Sheila Collier, Hitmonlee, lion
Deja Corwin, Muk, zebra
Sharen Corwin, Hitmonchan, llama
