Ivan Feil, Snorlax, serval
Gail Mayert, Kangaskhan, bat
Madlyn Conn, Pinsir, jellyfish
Randi Treutel, Golbat, hound
Edwina O'Kon, Ditto, raccoon
Robt Weber, Tentacruel, bat
Felton Walker, Moltres, leopard
Federico Cormier, Rapidash, baboon
Sterling Simonis DDS, Ivysaur, bat
Melodi Kohler III, Ninetales, wolf
Ms. Nyla Marquardt, Beedrill, worm
Miss Meagan Shields, Seaking, zebra
Tyree Padberg, Muk, bear
Miss Yelena Ritchie, Sandshrew, buffalo
Mr. Ngan Schimmel, Krabby, lion
Carey Koss DDS, Seaking, deer
Chassidy O'Connell DVM, Mankey, walrus
Abbie Wisoky Sr., Gastly, butterfly
Nam Ratke IV, Primeape, tiger
Carlo Bashirian, Rapidash, rhinoceros
Ka Schaden, Omastar, badger
Starla Kunze Jr., Pidgeotto, lizard
Rubin Sipes, Growlithe, termite
Austin Sipes, Venomoth, camel
Terrance Hickle, Vaporeon, mink
Rubye Champlin, Gyarados, dinosaur
Leanne Mohr DVM, Ditto, raven
Hertha Larson Sr., Kabuto, cricket
Miss Domitila Ryan, Venomoth, mink
Tyron McLaughlin, Nidoqueen, jellyfish
Erasmo Stark DVM, Ponyta, goat
Eduardo Greenholt, Ponyta, herring
Todd Tillman, Wartortle, termite
Olen Green, Pidgeot, hyena
Lincoln Morar, Golduck, cheetah
Dr. Lanell Williamson, Nidoran, minnow
Emanuel Stehr, Exeggcute, eagle
Todd Herman, Charmander, bee
Margot Watsica III, Jolteon, yellowjacket
Ms. Renea Haley, Muk, cockroach
Zoila Schroeder, Jolteon, beaver
Joaquina Balistreri, Moltres, mammoth
Kirby Grant IV, Shellder, crow
Ms. Cheryll Bergstrom, Golduck, lizard
Ned Blanda I, Porygon, grasshopper
Mariano Tromp, Venusaur, squirrel
Catheryn Kertzmann, Magneton, duck
Jeana Sawayn PhD, Nidoran, ox
Man Fay, Sandshrew, hedgehog
Lorette Weimann, Ivysaur, whale
