Ms. Connie Reichert, Gloom, rhinoceros
Joshua Jacobson, Weezing, minnow
Linn Erdman, Mew, snail
Patrina Kilback, Slowbro, elk
Darrick Rippin, Pinsir, ant
Nell Sanford, Seel, hippopotamus
Mahalia Harvey, Kangaskhan, oyster
Ms. Kimi Kulas, Zapdos, elephant
Kasie Lockman, Machop, pig
Louis Purdy DVM, Golem, ant
Garland Littel, Mew, dinosaur
Arden Hackett, Flareon, tiger
Carmelina Wiza, Poliwrath, hornet
Francesca O'Hara, Ivysaur, toad
Emanuel Sawayn, Nidorina, hornet
Miss Jarod Franecki, Gloom, moose
Jospeh Wolf, Golduck, koala
Felice Dickinson V, Seel, wolf
Laverne Huels V, Doduo, spider
Ms. Wade Rath, Venusaur, cricket
Vi Klein, Eevee, prairie dog
Miss Salvador Ward, Chansey, chinchilla
Tuyet Klocko MD, Beedrill, clam
Tierra Abbott I, Mankey, whale
Rozella Rutherford, Goldeen, dog
Blake Sipes III, Farfetch'd, rat
Elbert Corwin, Sandslash, wildebeest
Greg Kling, Meowth, skunk
Mauro Kassulke, Porygon, antelope
Lynn Kunde, Nidorino, donkey
Mr. Arthur Grimes, Moltres, prairie dog
Lenard Lindgren, Dewgong, elephant
Colin Cormier, Nidorina, ape
Mrs. Chris Farrell, Tauros, lizard
Vanetta Hilll, Kingler, donkey
Richie Boyer III, Pikachu, spider
Katy Bergstrom, Mewtwo, whale
Lean Green, Pidgeot, rat
Daren Gislason, Koffing, wildebeest
Raquel Strosin, Vulpix, wasp
Sylvie Hoeger, Victreebel, hedgehog
Mina Bogan, Onix, spider
Joane DuBuque, Poliwag, serval
Shaquana Beier, Tangela, gnu
Lamar Bauch, Tauros, bee
Dr. Hyman Casper, Vaporeon, porcupine
Stewart Schultz, Jolteon, rhinoceros
Mr. Damon Hammes, Hypno, goldfish
Ms. Gregory Koch, Nidoran, duck
Miss Marta Oberbrunner, Venomoth, cheetah
