Jan Mosciski, Tentacool, gnu
Lashaunda Hudson, Porygon, shark
Aron Fisher I, Zubat, beaver
Vivian Stoltenberg, Shellder, yellowjacket
Colton Mante, Slowpoke, guinea pig
Mrs. Herschel O'Hara, Lapras, crocodile
Rubi D'Amore, Pinsir, trout
Merrill Bogisich, Vileplume, reindeer
Edgardo Kutch, Seel, rabbit
Silvana Schulist, Poliwhirl, beetle
Dr. Jerome Keeling, Nidoqueen, whale
Shawnna Hilll, Venomoth, mule
Daisy Jast IV, Mew, platypus
Cleo Swaniawski PhD, Charizard, cockroach
Tandra Turcotte, Persian, coyote
Ms. Antony Paucek, Weedle, chinchilla
Melony Bogisich Sr., Zubat, hornet
Peggie Leannon, Jigglypuff, lizard
Shawnda Greenfelder, Parasect, mouse
Tanesha Blanda, Rattata, spider
Retha Ruecker, Staryu, hedgehog
David O'Conner Jr., Scyther, wasp
Nolan Lebsack II, Electrode, crocodile
Brian Blick, Blastoise, leopard
Tod DuBuque, Dugtrio, crow
Ms. Broderick Auer, Clefairy, frog
Lauren Tillman, Gyarados, shark
Gene Boehm, Porygon, ox
Seth Walsh, Exeggcute, goose
Mrs. Duncan Ruecker, Cubone, termite
Ruben Senger, Articuno, gerbil
Jerrie Goodwin, Arbok, otter
Daniela Kautzer, Seel, raven
Miss Sammie Pouros, Primeape, wombat
Nicolas Dicki Sr., Ekans, toad
Elijah Gutkowski, Rapidash, cricket
Karry Brown, Charmander, minnow
Rosalva VonRueden, Weedle, mallard
Juliet Hagenes, Hitmonlee, panda
Reda Stoltenberg, Metapod, hare
Maudie Dietrich MD, Parasect, kangaroo
Darell Blanda, Tentacruel, toad
Selina Davis DVM, Cubone, walrus
Melvina Gorczany, Ditto, tiger
Kendrick Raynor, Geodude, lion
Mauricio Kuhic, Fearow, hound
Coleman Gleichner, Primeape, alligator
Dr. Jessica Orn, Golem, minnow
Dr. Delmer Schaefer, Dodrio, mammoth
Suzy Ryan, Slowbro, chimpanzee
