Ethelene Bailey, Geodude, zebra
Deangelo Schowalter, Magneton, cod
Meagan Herzog, Ekans, mouse
Miss Lieselotte Schneider, Tentacruel, beaver
Mr. Orlando Morar, Horsea, oyster
Margeret Kertzmann, Seadra, gerbil
Mac Howe, Kadabra, jackal
Evan Schroeder, Wigglytuff, mouse
Jody Kertzmann, Scyther, camel
Mrs. Ward D'Amore, Nidorina, salmon
Salome Barton, Raichu, mouse
Sebastian Kris, Marowak, camel
Renato McKenzie MD, Dragonite, goose
Ms. Alyse McLaughlin, Starmie, termite
Miss Hayley Hudson, Seel, fly
Dorthy Davis, Tangela, termite
Larraine Kub, Moltres, walrus
Jayson Harris PhD, Lapras, locust
Valerie Hoppe, Diglett, gnu
Gertrud Heller, Onix, grasshopper
Thomas Upton, Kabuto, baboon
Shawnee Bode, Gastly, moose
Jarrett Quitzon, Omastar, beetle
Gianna Thiel III, Doduo, giraffe
Rosamond Botsford, Gyarados, elk
Kirby Heller, Clefairy, sea lion
Teodoro Glover, Nidoqueen, manatee
Roni Crona, Paras, snail
Mrs. Jan Kerluke, Weepinbell, ox
Jonas Shields, Meowth, spider
Mrs. Dortha Roob, Spearow, zebra
Maximo Brekke, Nidoqueen, jackal
Cornell Farrell, Mr. Mime, crow
Ms. Sharon Treutel, Charmeleon, koala
Marcel Collins, Ekans, macaw
Jefferey Quitzon, Poliwag, monkey
Esteban Murazik, Aerodactyl, cod
Richie Braun DVM, Ivysaur, woodchuck
Myrtle Bruen, Marowak, baboon
Jerilyn Gleason II, Kabutops, sheep
Krysta Abshire, Diglett, ox
Mr. Zachariah Pouros, Pidgeot, serval
Dr. Zada Brown, Grimer, pig
Miss Harold White, Dratini, deer
Somer Hirthe, Clefable, dolphin
Mrs. Allyn Swift, Venonat, termite
Mr. Max Smitham, Weezing, raven
Christopher Rohan I, Squirtle, cod
Roscoe Stracke II, Poliwrath, louse
Elden Batz, Moltres, weasel
