Mrs. Young Treutel, Abra, seal
Oliver Rodriguez, Nidorina, crow
Marianna Marvin, Weepinbell, grasshopper
Dennis Wilkinson, Omastar, marten
Andrea Purdy, Vulpix, worm
Darby Schoen Sr., Paras, rat
Ariel O'Hara, Flareon, cricket
Omega Jast, Jolteon, snail
Cherie Luettgen, Dodrio, tiger
Rebecca Lowe, Parasect, cricket
Gerardo Pouros, Krabby, raven
Bobbie Little II, Pidgey, elk
Renaldo Langworth, Marowak, cricket
Jewel Cruickshank, Dratini, mosquito
Glen O'Reilly, Tentacool, wolf
Laurice Sauer, Porygon, rhinoceros
Tanner Murazik, Electabuzz, gorilla
Marion Kunze, Alakazam, raccoon
Hershel Braun, Persian, fox
Doyle Bergnaum DVM, Weepinbell, sardine
Mr. Lucio Parisian, Sandslash, mule
Danial Aufderhar, Doduo, trout
Ian King, Horsea, bear
Miss Travis King, Slowbro, bat
Nathanael McLaughlin, Pidgey, hyena
Fawn Frami, Poliwhirl, eel
Minh Heidenreich MD, Staryu, deer
Ms. Donnetta Goldner, Jolteon, prairie dog
Kraig Steuber, Oddish, crow
Charles Collier, Magikarp, pig
Kalyn Kling Sr., Seadra, monkey
Miss Leonida Marvin, Machamp, buffalo
Royce Gleichner, Geodude, oyster
Marc Lynch, Zubat, wombat
Jacquelyne VonRueden, Magmar, pug
Billie Cummings, Slowpoke, wombat
Bernetta Reynolds, Slowbro, herring
Jeramy Morissette I, Meowth, rhinoceros
Kerry Hahn, Rhyhorn, macaw
Dierdre Lehner, Ekans, yellowjacket
Tanner Wolff, Koffing, koala
Kisha Rosenbaum, Omanyte, raccoon
Ahmed McLaughlin, Shellder, kangaroo
Roscoe Gorczany, Ponyta, wasp
Stewart Johnston, Shellder, hound
Harland Bailey, Pikachu, raven
Merri Yundt, Weepinbell, serval
Miss Francene Bartell, Vaporeon, lion
Salome Becker, Tentacruel, woodchuck
Darlena Murray, Drowzee, hamster
